properties.objectid,x,y
1,-1.9040135908025642,55.01656842552432
2,-2.7249424740248216,54.05455717249462
3,-1.273618764987313,53.985048519498626
4,-0.81306424493519,52.92731210988973
5,-2.2749245686727297,52.478925294108
6,0.5378723888737024,52.250349158381084
7,-0.11607586430471692,51.50465451540117
8,-0.5299525892724548,51.29542944393572
9,-3.1279799632243566,50.99754674953212
10,-3.7348209274839475,52.30109166806759
11,-4.032087625133596,56.684560156359694
12,-6.678141061809743,54.60617527683855
