date,anomaly
1872-03-01,-0.524
1872-04-01,-0.385
1872-05-01,-0.142
1872-06-01,-0.279
1872-07-01,-0.146
1872-08-01,0.009
1872-09-01,-0.177
1872-10-01,-0.204
1872-11-01,-0.322
1872-12-01,-0.548
1873-01-01,-0.262
1873-02-01,-0.283
1873-03-01,-0.409
1873-04-01,-0.481
1873-05-01,-0.351
1873-06-01,-0.321
1873-07-01,-0.176
1873-08-01,-0.228
1873-09-01,-0.405
1873-10-01,-0.391
1873-11-01,-0.463
1873-12-01,-0.328
1874-01-01,-0.199
1874-02-01,-0.438
1874-03-01,-0.673
1874-04-01,-0.437
1874-05-01,-0.334
1874-06-01,-0.566
1874-07-01,-0.167
1874-08-01,-0.296
1874-09-01,-0.168
1874-10-01,-0.471
1874-11-01,-0.418
1874-12-01,-0.312
1875-01-01,-0.571
1875-02-01,-0.479
1875-03-01,-0.564
1875-04-01,-0.358
1875-05-01,-0.273
1875-06-01,-0.280
1875-07-01,-0.182
1875-08-01,-0.247
1875-09-01,-0.234
1875-10-01,-0.233
1875-11-01,-0.509
1875-12-01,-0.577
1876-01-01,-0.514
1876-02-01,-0.337
1876-03-01,-0.362
1876-04-01,-0.424
1876-05-01,-0.590
1876-06-01,-0.352
1876-07-01,-0.214
1876-08-01,-0.327
1876-09-01,-0.418
1876-10-01,-0.300
1876-11-01,-0.607
1876-12-01,-0.643
1877-01-01,-0.411
1877-02-01,-0.209
1877-03-01,-0.091
1877-04-01,-0.346
1877-05-01,-0.411
1877-06-01,-0.138
1877-07-01,-0.016
1877-08-01,0.211
1877-09-01,0.108
1877-10-01,0.113
1877-11-01,0.034
1877-12-01,-0.056
1878-01-01,-0.070
1878-02-01,0.229
1878-03-01,0.361
1878-04-01,0.189
1878-05-01,-0.122
1878-06-01,0.010
1878-07-01,-0.077
1878-08-01,-0.047
1878-09-01,0.021
1878-10-01,-0.165
1878-11-01,-0.143
1878-12-01,-0.323
1879-01-01,-0.238
1879-02-01,-0.266
1879-03-01,-0.258
1879-04-01,-0.382
1879-05-01,-0.344
1879-06-01,-0.283
1879-07-01,-0.264
1879-08-01,-0.265
1879-09-01,-0.236
1879-10-01,-0.159
1879-11-01,-0.397
1879-12-01,-0.551
1880-01-01,-0.394
1880-02-01,-0.450
1880-03-01,-0.194
1880-04-01,-0.338
1880-05-01,-0.325
1880-06-01,-0.381
1880-07-01,-0.315
1880-08-01,-0.107
1880-09-01,-0.297
1880-10-01,-0.391
1880-11-01,-0.281
1880-12-01,-0.317
1881-01-01,-0.215
1881-02-01,-0.225
1881-03-01,-0.248
1881-04-01,-0.063
1881-05-01,-0.122
1881-06-01,-0.399
1881-07-01,-0.194
1881-08-01,-0.138
1881-09-01,-0.301
1881-10-01,-0.231
1881-11-01,-0.381
1881-12-01,-0.271
1882-01-01,-0.025
1882-02-01,-0.117
1882-03-01,-0.177
1882-04-01,-0.315
1882-05-01,-0.326
1882-06-01,-0.392
1882-07-01,-0.341
1882-08-01,-0.245
1882-09-01,-0.150
1882-10-01,-0.399
1882-11-01,-0.404
1882-12-01,-0.655
1883-01-01,-0.473
1883-02-01,-0.485
1883-03-01,-0.266
1883-04-01,-0.439
1883-05-01,-0.340
1883-06-01,-0.190
1883-07-01,-0.219
1883-08-01,-0.288
1883-09-01,-0.306
1883-10-01,-0.340
1883-11-01,-0.396
1883-12-01,-0.415
