formOfNode,longitude,latitude
junction,-3.324,51.411
junction,-3.365,51.411
junction,-3.324,51.411
source,-3.320,51.412
junction,-3.328,51.412
junction,-3.315,51.413
junction,-3.365,51.417
junction,-3.395,51.418
junction,-3.361,51.420
source,-3.390,51.419
source,-3.396,51.419
source,-3.339,51.422
source,-3.343,51.427
junction,-3.358,51.434
junction,-3.394,51.435
source,-3.348,51.439
source,-3.373,51.484
source,-3.351,51.487
source,-3.379,51.487
source,-3.402,51.488
source,-3.387,51.490
junction,-3.347,51.493
junction,-3.382,51.493
source,-3.371,51.493
junction,-3.364,51.497
source,-3.394,51.497
source,-3.365,51.499
source,-3.400,51.499
junction,-3.402,51.499
junction,-3.401,51.499
junction,-3.400,51.500
junction,-3.359,51.501
junction,-3.363,51.501
junction,-3.400,51.501
source,-3.404,51.501
source,-3.404,51.502
junction,-3.347,51.503
junction,-3.361,51.504
source,-3.364,51.505
junction,-3.361,51.505
junction,-3.362,51.506
source,-3.362,51.506
junction,-3.350,51.507
source,-3.347,51.508
source,-3.363,51.508
source,-3.351,51.508
source,-3.391,51.509
junction,-3.391,51.510
junction,-3.391,51.519
junction,-3.398,51.519
junction,-3.398,51.522
junction,-3.350,51.526
source,-3.349,51.527
junction,-3.391,51.527
junction,-3.405,51.530
source,-3.405,51.530
junction,-3.410,51.614
junction,-3.410,51.622
junction,-3.410,51.622
junction,-3.410,51.623
junction,-3.409,51.629
junction,-3.408,51.625
junction,-3.408,51.626
source,-3.406,51.625
source,-3.404,51.621
source,-3.404,51.622
source,-3.403,51.626
source,-3.403,51.629
source,-3.397,51.616
junction,-3.397,51.614
junction,-3.394,51.610
junction,-3.394,51.610
junction,-3.394,51.617
source,-3.394,51.617
source,-3.392,51.618
junction,-3.390,51.611
source,-3.390,51.612
junction,-3.390,51.611
source,-3.384,51.620
junction,-3.384,51.611
junction,-3.390,51.578
source,-3.391,51.579
junction,-3.448,51.580
source,-3.407,51.582
junction,-3.400,51.582
source,-3.399,51.582
junction,-3.404,51.583
junction,-3.406,51.583
junction,-3.408,51.583
junction,-3.431,51.584
source,-3.394,51.585
source,-3.415,51.585
source,-3.404,51.587
source,-3.447,51.588
junction,-3.411,51.592
source,-3.411,51.592
source,-3.412,51.593
junction,-3.430,51.595
source,-3.449,51.596
junction,-3.449,51.596
source,-3.451,51.599
source,-3.427,51.600
source,-3.395,51.607
source,-3.445,51.606
source,-3.399,51.607
source,-3.394,51.609
source,-3.395,51.609
junction,-3.396,51.609
junction,-3.395,51.609
junction,-3.405,51.609
source,-3.451,51.523
outlet,-3.450,51.528
junction,-3.450,51.537
source,-3.449,51.537
junction,-3.446,51.536
source,-3.444,51.532
source,-3.443,51.526
source,-3.441,51.520
source,-3.440,51.525
source,-3.428,51.519
source,-3.425,51.528
source,-3.424,51.538
source,-3.422,51.520
junction,-3.422,51.520
source,-3.413,51.496
source,-3.411,51.499
junction,-3.410,51.532
junction,-3.410,51.532
junction,-3.408,51.497
source,-3.409,51.538
junction,-3.404,51.498
junction,-3.455,51.626
junction,-3.454,51.624
junction,-3.454,51.629
source,-3.453,51.612
source,-3.452,51.626
source,-3.449,51.609
junction,-3.449,51.619
junction,-3.446,51.610
junction,-3.446,51.610
junction,-3.445,51.617
source,-3.437,51.622
junction,-3.436,51.617
junction,-3.432,51.616
source,-3.431,51.614
source,-3.429,51.612
junction,-3.427,51.616
source,-3.426,51.623
junction,-3.426,51.616
junction,-3.425,51.616
source,-3.424,51.616
source,-3.422,51.614
junction,-3.422,51.615
source,-3.422,51.624
junction,-3.422,51.615
source,-3.418,51.610
junction,-3.417,51.615
source,-3.416,51.613
source,-3.413,51.623
junction,-3.453,51.569
source,-3.451,51.570
junction,-3.450,51.570
junction,-3.436,51.576
source,-3.434,51.552
junction,-3.429,51.572
source,-3.425,51.565
source,-3.423,51.561
source,-3.423,51.570
junction,-3.422,51.569
junction,-3.421,51.568
junction,-3.419,51.564
source,-3.416,51.554
junction,-3.413,51.558
junction,-3.412,51.557
source,-3.412,51.572
junction,-3.411,51.556
source,-3.409,51.562
source,-3.392,51.556
junction,-3.390,51.554
source,-3.390,51.557
source,-3.388,51.556
junction,-3.388,51.575
junction,-3.387,51.552
source,-3.388,51.568
junction,-3.385,51.555
source,-3.385,51.556
junction,-3.385,51.570
junction,-3.384,51.556
source,-3.484,51.589
source,-3.485,51.627
junction,-3.483,51.589
junction,-3.484,51.625
junction,-3.481,51.578
junction,-3.480,51.578
source,-3.479,51.574
junction,-3.478,51.588
junction,-3.476,51.582
junction,-3.477,51.590
source,-3.477,51.624
source,-3.474,51.578
junction,-3.476,51.625
junction,-3.474,51.625
source,-3.473,51.623
junction,-3.472,51.595
junction,-3.472,51.625
source,-3.469,51.596
source,-3.465,51.587
source,-3.466,51.614
source,-3.462,51.578
source,-3.459,51.584
junction,-3.457,51.579
junction,-3.456,51.629
source,-3.455,51.603
source,-3.457,51.441
junction,-3.457,51.441
junction,-3.436,51.442
source,-3.435,51.442
source,-3.435,51.442
junction,-3.444,51.446
source,-3.474,51.450
junction,-3.444,51.453
junction,-3.444,51.453
source,-3.443,51.454
source,-3.447,51.455
junction,-3.455,51.456
junction,-3.457,51.456
junction,-3.458,51.456
source,-3.459,51.457
source,-3.458,51.460
junction,-3.443,51.463
source,-3.481,51.463
source,-3.447,51.464
junction,-3.442,51.466
junction,-3.444,51.468
junction,-3.445,51.468
source,-3.443,51.468
source,-3.446,51.471
junction,-3.451,51.471
junction,-3.456,51.478
source,-3.456,51.478
source,-3.401,51.480
junction,-3.486,51.401
junction,-3.397,51.404
junction,-3.397,51.405
source,-3.397,51.405
junction,-3.397,51.406
source,-3.397,51.407
junction,-3.398,51.409
source,-3.464,51.412
source,-3.495,51.415
source,-3.427,51.424
junction,-3.409,51.424
junction,-3.413,51.429
junction,-3.412,51.432
junction,-3.408,51.433
source,-3.405,51.433
source,-3.408,51.434
junction,-3.415,51.436
source,-3.427,51.436
junction,-3.419,51.437
source,-3.399,51.437
source,-3.471,51.436
source,-3.419,51.439
junction,-3.435,51.441
source,-3.457,51.441
junction,-3.457,51.441
junction,-3.468,51.501
source,-3.464,51.501
source,-3.516,51.502
junction,-3.520,51.502
junction,-3.468,51.503
source,-3.464,51.504
junction,-3.517,51.503
junction,-3.508,51.508
source,-3.485,51.516
junction,-3.488,51.517
outlet,-3.455,51.524
junction,-3.453,51.524
source,-3.480,51.525
junction,-3.480,51.525
junction,-3.483,51.525
source,-3.477,51.526
source,-3.519,51.529
junction,-3.487,51.531
junction,-3.491,51.535
junction,-3.489,51.537
junction,-3.500,51.537
source,-3.489,51.538
junction,-3.501,51.539
junction,-3.503,51.540
junction,-3.498,51.542
junction,-3.519,51.542
source,-3.506,51.543
junction,-3.463,51.544
junction,-3.524,51.543
source,-3.495,51.543
junction,-3.498,51.544
source,-3.509,51.546
source,-3.486,51.547
junction,-3.496,51.547
source,-3.500,51.547
junction,-3.495,51.550
source,-3.521,51.551
source,-3.528,51.552
junction,-3.496,51.553
source,-3.455,51.554
junction,-3.471,51.554
source,-3.496,51.554
source,-3.503,51.555
source,-3.495,51.555
source,-3.468,51.558
source,-3.480,51.559
source,-3.527,51.560
source,-3.453,51.566
source,-3.499,51.568
source,-3.461,51.569
junction,-3.542,51.601
junction,-3.542,51.603
source,-3.515,51.603
source,-3.508,51.604
source,-3.521,51.608
source,-3.487,51.610
junction,-3.543,51.610
source,-3.546,51.611
junction,-3.542,51.613
source,-3.550,51.614
junction,-3.540,51.615
junction,-3.539,51.618
source,-3.550,51.619
junction,-3.536,51.620
source,-3.528,51.620
junction,-3.534,51.623
junction,-3.489,51.625
junction,-3.500,51.625
source,-3.504,51.625
source,-3.489,51.625
source,-3.528,51.625
source,-3.536,51.627
junction,-3.543,51.627
junction,-3.546,51.628
source,-3.547,51.628
junction,-3.505,51.570
junction,-3.531,51.571
source,-3.499,51.572
junction,-3.499,51.572
source,-3.484,51.573
junction,-3.494,51.573
junction,-3.490,51.574
junction,-3.485,51.574
source,-3.548,51.574
junction,-3.547,51.574
junction,-3.488,51.575
junction,-3.528,51.575
junction,-3.523,51.575
source,-3.523,51.575
source,-3.485,51.578
source,-3.502,51.579
junction,-3.542,51.579
source,-3.512,51.581
junction,-3.517,51.581
source,-3.530,51.583
source,-3.486,51.584
source,-3.541,51.585
source,-3.485,51.589
source,-3.494,51.601
junction,-3.553,51.600
source,-3.553,51.600
junction,-3.514,51.601
source,-3.545,51.413
junction,-3.574,51.419
source,-3.574,51.419
source,-3.556,51.426
source,-3.512,51.431
source,-3.517,51.438
junction,-3.518,51.440
source,-3.535,51.445
junction,-3.522,51.450
source,-3.564,51.452
source,-3.524,51.454
source,-3.552,51.455
junction,-3.524,51.455
junction,-3.552,51.455
junction,-3.535,51.456
source,-3.534,51.456
source,-3.523,51.456
junction,-3.525,51.456
junction,-3.523,51.456
junction,-3.541,51.458
junction,-3.548,51.461
source,-3.522,51.466
source,-3.533,51.483
junction,-3.593,51.482
junction,-3.581,51.485
junction,-3.580,51.485
source,-3.560,51.487
junction,-3.576,51.487
source,-3.575,51.487
junction,-3.572,51.488
source,-3.550,51.489
junction,-3.573,51.490
source,-3.571,51.490
source,-3.501,51.491
junction,-3.568,51.491
source,-3.569,51.492
source,-3.569,51.492
junction,-3.556,51.493
junction,-3.553,51.493
source,-3.557,51.493
junction,-3.546,51.495
source,-3.523,51.498
junction,-3.527,51.499
outlet,-3.502,51.396
source,-3.511,51.403
outlet,-3.561,51.404
source,-3.532,51.410
junction,-3.555,51.410
source,-3.558,51.412
source,-3.601,51.591
source,-3.601,51.619
junction,-3.598,51.576
source,-3.598,51.627
junction,-3.592,51.579
source,-3.591,51.580
junction,-3.592,51.626
source,-3.590,51.619
junction,-3.589,51.619
junction,-3.589,51.623
source,-3.586,51.579
junction,-3.585,51.612
junction,-3.583,51.605
junction,-3.582,51.596
source,-3.581,51.614
source,-3.577,51.579
junction,-3.573,51.574
source,-3.571,51.606
source,-3.571,51.627
junction,-3.568,51.577
source,-3.561,51.578
source,-3.558,51.601
source,-3.535,51.543
source,-3.551,51.543
junction,-3.528,51.543
junction,-3.530,51.543
junction,-3.557,51.543
junction,-3.559,51.544
source,-3.532,51.544
junction,-3.583,51.544
junction,-3.571,51.545
junction,-3.553,51.545
source,-3.599,51.545
junction,-3.564,51.547
junction,-3.563,51.547
source,-3.550,51.547
source,-3.543,51.548
source,-3.562,51.548
junction,-3.578,51.551
junction,-3.564,51.558
junction,-3.597,51.561
junction,-3.597,51.562
source,-3.597,51.562
junction,-3.600,51.566
source,-3.560,51.566
source,-3.594,51.567
junction,-3.540,51.568
junction,-3.530,51.501
junction,-3.529,51.501
junction,-3.587,51.502
source,-3.555,51.509
junction,-3.579,51.509
source,-3.597,51.514
junction,-3.588,51.520
junction,-3.546,51.524
source,-3.568,51.528
junction,-3.585,51.531
source,-3.540,51.532
source,-3.582,51.532
source,-3.599,51.534
junction,-3.591,51.534
source,-3.545,51.536
junction,-3.593,51.535
source,-3.587,51.535
source,-3.566,51.537
junction,-3.569,51.539
source,-3.531,51.539
source,-3.567,51.539
source,-3.548,51.539
junction,-3.595,51.539
source,-3.557,51.540
junction,-3.593,51.540
junction,-3.592,51.541
junction,-3.411,52.717
source,-3.408,52.772
junction,-3.405,52.742
junction,-3.405,52.733
junction,-3.402,52.734
source,-3.401,52.734
junction,-3.399,52.712
source,-3.398,52.749
junction,-3.396,52.712
source,-3.396,52.728
source,-3.394,52.717
junction,-3.394,52.747
source,-3.392,52.736
source,-3.392,52.759
source,-3.392,52.761
junction,-3.390,52.759
junction,-3.384,52.758
source,-3.378,52.725
source,-3.375,52.747
source,-3.374,52.736
source,-3.373,52.766
junction,-3.370,52.726
junction,-3.370,52.728
junction,-3.367,52.724
source,-3.366,52.724
source,-3.363,52.755
source,-3.359,52.733
source,-3.360,52.773
source,-3.416,52.683
source,-3.412,52.689
junction,-3.410,52.685
source,-3.408,52.648
source,-3.406,52.673
junction,-3.404,52.687
junction,-3.400,52.648
source,-3.400,52.654
junction,-3.400,52.654
source,-3.400,52.690
source,-3.392,52.686
junction,-3.390,52.657
junction,-3.390,52.686
source,-3.388,52.684
junction,-3.387,52.685
junction,-3.387,52.684
source,-3.374,52.652
junction,-3.375,52.707
source,-3.368,52.649
junction,-3.368,52.649
source,-3.367,52.661
junction,-3.366,52.665
junction,-3.366,52.711
junction,-3.362,52.654
junction,-3.361,52.662
source,-3.360,52.697
junction,-3.356,52.662
source,-3.354,52.707
source,-3.423,52.820
junction,-3.420,52.831
junction,-3.420,52.820
source,-3.416,52.820
source,-3.414,52.838
junction,-3.412,52.793
junction,-3.412,52.827
source,-3.412,52.827
junction,-3.411,52.821
source,-3.407,52.788
junction,-3.403,52.823
junction,-3.394,52.801
source,-3.394,52.801
source,-3.393,52.809
source,-3.394,52.825
source,-3.394,52.837
junction,-3.387,52.824
source,-3.385,52.791
junction,-3.377,52.806
junction,-3.376,52.823
junction,-3.368,52.818
source,-3.365,52.821
junction,-3.364,52.806
source,-3.360,52.789
junction,-3.358,52.811
source,-3.472,52.923
junction,-3.470,52.922
source,-3.467,52.897
source,-3.461,52.871
source,-3.461,52.926
junction,-3.459,52.925
source,-3.457,52.905
junction,-3.457,52.904
source,-3.451,52.877
junction,-3.450,52.885
junction,-3.447,52.897
source,-3.444,52.848
junction,-3.442,52.908
junction,-3.442,52.911
junction,-3.438,52.846
source,-3.431,52.888
source,-3.431,52.926
source,-3.423,52.897
source,-3.420,52.926
source,-3.409,52.861
junction,-3.396,52.859
source,-3.395,52.869
source,-3.369,52.913
source,-3.363,52.882
source,-3.362,52.883
junction,-3.361,52.881
junction,-3.466,52.688
junction,-3.464,52.674
junction,-3.465,52.684
source,-3.461,52.656
source,-3.458,52.664
junction,-3.455,52.682
source,-3.455,52.703
source,-3.454,52.661
junction,-3.452,52.662
source,-3.452,52.675
junction,-3.451,52.664
junction,-3.445,52.679
source,-3.442,52.649
source,-3.442,52.706
junction,-3.436,52.705
junction,-3.434,52.675
junction,-3.434,52.677
source,-3.434,52.695
junction,-3.433,52.690
source,-3.430,52.675
junction,-3.428,52.680
source,-3.422,52.658
source,-3.421,52.675
junction,-3.417,52.685
source,-3.494,52.819
junction,-3.492,52.805
source,-3.491,52.817
source,-3.477,52.838
junction,-3.470,52.836
source,-3.470,52.837
source,-3.464,52.829
junction,-3.461,52.831
source,-3.459,52.790
source,-3.458,52.808
junction,-3.457,52.810
source,-3.454,52.790
junction,-3.455,52.810
source,-3.455,52.820
junction,-3.454,52.790
source,-3.454,52.807
junction,-3.452,52.827
source,-3.451,52.835
junction,-3.451,52.833
source,-3.448,52.835
junction,-3.444,52.825
source,-3.441,52.799
junction,-3.433,52.819
source,-3.428,52.838
junction,-3.428,52.838
source,-3.424,52.800
source,-3.508,52.711
junction,-3.512,52.711
source,-3.447,52.712
source,-3.418,52.716
source,-3.453,52.716
junction,-3.413,52.718
source,-3.535,52.718
junction,-3.523,52.719
junction,-3.445,52.720
source,-3.456,52.720
source,-3.431,52.721
junction,-3.420,52.721
junction,-3.428,52.722
junction,-3.422,52.723
junction,-3.435,52.728
junction,-3.418,52.728
source,-3.480,52.728
source,-3.454,52.729
junction,-3.454,52.729
source,-3.430,52.732
source,-3.426,52.733
junction,-3.460,52.733
source,-3.414,52.741
junction,-3.413,52.741
junction,-3.452,52.742
source,-3.414,52.749
junction,-3.436,52.751
source,-3.484,52.686
source,-3.473,52.686
junction,-3.484,52.687
junction,-3.470,52.687
junction,-3.495,52.688
source,-3.496,52.688
junction,-3.495,52.688
junction,-3.499,52.689
junction,-3.475,52.691
junction,-3.502,52.691
source,-3.481,52.692
junction,-3.479,52.692
source,-3.508,52.692
source,-3.476,52.693
junction,-3.522,52.696
source,-3.471,52.700
junction,-3.538,52.699
junction,-3.532,52.699
junction,-3.495,52.702
source,-3.501,52.704
source,-3.531,52.705
junction,-3.497,52.705
source,-3.519,52.708
source,-3.492,52.708
junction,-3.507,52.710
junction,-3.533,52.646
source,-3.471,52.647
junction,-3.529,52.647
junction,-3.481,52.650
junction,-3.523,52.651
source,-3.492,52.653
junction,-3.514,52.654
junction,-3.489,52.655
source,-3.531,52.655
junction,-3.516,52.655
source,-3.522,52.656
junction,-3.484,52.659
junction,-3.477,52.659
junction,-3.478,52.660
source,-3.471,52.661
junction,-3.519,52.663
source,-3.496,52.664
junction,-3.535,52.664
source,-3.521,52.665
source,-3.537,52.665
source,-3.509,52.674
junction,-3.497,52.677
source,-3.497,52.679
source,-3.475,52.680
source,-3.523,52.683
source,-3.508,52.685
junction,-3.484,52.750
source,-3.436,52.751
junction,-3.435,52.751
junction,-3.435,52.752
source,-3.435,52.753
source,-3.438,52.753
source,-3.539,52.757
source,-3.455,52.758
junction,-3.436,52.759
junction,-3.517,52.758
source,-3.481,52.759
junction,-3.455,52.760
source,-3.518,52.760
junction,-3.460,52.766
junction,-3.419,52.768
junction,-3.457,52.771
junction,-3.486,52.777
junction,-3.541,52.777
source,-3.467,52.779
junction,-3.515,52.783
source,-3.524,52.846
source,-3.513,52.849
junction,-3.532,52.851
source,-3.549,52.851
junction,-3.557,52.854
source,-3.476,52.857
source,-3.519,52.859
junction,-3.559,52.869
junction,-3.549,52.879
source,-3.560,52.885
junction,-3.553,52.887
source,-3.508,52.890
source,-3.495,52.894
junction,-3.508,52.895
source,-3.514,52.896
junction,-3.514,52.896
source,-3.534,52.897
source,-3.558,52.900
source,-3.537,52.901
source,-3.541,52.901
source,-3.524,52.902
junction,-3.534,52.901
junction,-3.533,52.902
source,-3.536,52.902
source,-3.553,52.903
junction,-3.554,52.904
junction,-3.530,52.908
junction,-3.529,52.908
junction,-3.529,52.908
source,-3.498,52.910
junction,-3.535,52.910
junction,-3.542,52.911
source,-3.519,52.912
junction,-3.519,52.913
junction,-3.542,52.914
source,-3.543,52.914
source,-3.493,52.915
source,-3.479,52.918
junction,-3.564,52.917
junction,-3.561,52.918
source,-3.483,52.919
junction,-3.482,52.919
junction,-3.482,52.919
junction,-3.502,52.920
junction,-3.486,52.921
junction,-3.504,52.921
junction,-3.562,52.922
junction,-3.476,52.924
junction,-3.564,52.925
source,-3.566,52.927
junction,-3.561,52.792
junction,-3.558,52.791
junction,-3.554,52.820
source,-3.552,52.798
source,-3.545,52.831
junction,-3.540,52.806
junction,-3.540,52.816
junction,-3.539,52.817
source,-3.535,52.800
junction,-3.533,52.801
junction,-3.530,52.795
source,-3.531,52.832
junction,-3.526,52.790
source,-3.527,52.821
source,-3.520,52.798
source,-3.517,52.833
source,-3.509,52.826
junction,-3.509,52.826
junction,-3.507,52.826
source,-3.507,52.827
source,-3.505,52.817
source,-3.503,52.805
junction,-3.496,52.816
junction,-3.495,52.816
source,-3.617,52.919
junction,-3.615,52.914
junction,-3.612,52.896
source,-3.610,52.879
junction,-3.610,52.897
junction,-3.610,52.897
junction,-3.608,52.918
junction,-3.607,52.918
junction,-3.603,52.891
source,-3.602,52.886
source,-3.597,52.891
source,-3.590,52.887
source,-3.587,52.879
junction,-3.583,52.888
junction,-3.582,52.888
junction,-3.582,52.907
source,-3.580,52.885
junction,-3.577,52.889
source,-3.574,52.913
source,-3.573,52.885
junction,-3.574,52.913
source,-3.573,52.900
junction,-3.573,52.915
junction,-3.572,52.899
junction,-3.571,52.900
source,-3.620,52.729
junction,-3.617,52.729
source,-3.615,52.747
source,-3.613,52.726
junction,-3.610,52.735
junction,-3.607,52.743
junction,-3.602,52.705
source,-3.603,52.751
source,-3.602,52.733
source,-3.601,52.722
source,-3.595,52.743
junction,-3.594,52.708
junction,-3.592,52.707
source,-3.590,52.707
source,-3.589,52.706
source,-3.589,52.711
junction,-3.588,52.709
source,-3.588,52.709
source,-3.576,52.701
source,-3.576,52.721
source,-3.577,52.745
source,-3.564,52.695
junction,-3.558,52.704
junction,-3.558,52.742
junction,-3.550,52.701
source,-3.547,52.697
junction,-3.545,52.700
source,-3.543,52.708
source,-3.639,52.648
source,-3.640,52.663
junction,-3.640,52.667
junction,-3.639,52.672
junction,-3.639,52.681
junction,-3.639,52.690
source,-3.630,52.672
source,-3.621,52.660
source,-3.613,52.655
source,-3.611,52.667
source,-3.606,52.661
source,-3.606,52.671
junction,-3.605,52.666
junction,-3.605,52.666
junction,-3.604,52.659
junction,-3.599,52.653
junction,-3.599,52.654
source,-3.599,52.670
junction,-3.597,52.648
source,-3.594,52.684
source,-3.592,52.662
source,-3.589,52.648
source,-3.569,52.663
source,-3.550,52.662
junction,-3.548,52.658
source,-3.548,52.658
junction,-3.655,52.812
source,-3.654,52.809
junction,-3.654,52.813
junction,-3.653,52.815
source,-3.653,52.819
source,-3.653,52.831
junction,-3.652,52.832
junction,-3.651,52.818
junction,-3.650,52.819
source,-3.649,52.823
junction,-3.647,52.823
junction,-3.642,52.829
source,-3.642,52.853
source,-3.640,52.853
junction,-3.634,52.839
source,-3.631,52.795
source,-3.630,52.783
source,-3.628,52.839
junction,-3.627,52.822
source,-3.615,52.785
source,-3.617,52.851
source,-3.614,52.825
source,-3.611,52.835
source,-3.587,52.840
source,-3.584,52.800
source,-3.576,52.814
source,-3.569,52.790
source,-3.567,52.838
source,-3.565,52.822
junction,-3.666,52.889
junction,-3.667,52.905
junction,-3.666,52.889
junction,-3.662,52.888
source,-3.658,52.881
source,-3.658,52.918
junction,-3.656,52.882
source,-3.656,52.893
source,-3.654,52.878
junction,-3.647,52.877
source,-3.648,52.916
junction,-3.647,52.878
junction,-3.648,52.921
junction,-3.646,52.922
source,-3.646,52.920
source,-3.643,52.892
junction,-3.638,52.876
junction,-3.639,52.924
source,-3.637,52.923
source,-3.628,52.914
junction,-3.627,52.885
source,-3.625,52.901
source,-3.624,52.906
source,-3.623,52.899
source,-3.621,52.911
junction,-3.620,52.900
junction,-3.617,52.914
source,-3.617,52.913
junction,-3.614,52.855
junction,-3.665,52.856
source,-3.661,52.857
source,-3.654,52.858
junction,-3.654,52.858
source,-3.591,52.861
junction,-3.661,52.860
junction,-3.649,52.865
junction,-3.599,52.866
source,-3.639,52.865
source,-3.644,52.865
junction,-3.648,52.866
junction,-3.663,52.867
junction,-3.662,52.867
junction,-3.647,52.868
source,-3.594,52.869
junction,-3.647,52.869
junction,-3.618,52.871
junction,-3.645,52.871
source,-3.665,52.873
source,-3.668,52.738
source,-3.666,52.710
junction,-3.665,52.702
source,-3.664,52.719
junction,-3.657,52.699
source,-3.658,52.750
source,-3.657,52.746
source,-3.655,52.711
source,-3.655,52.701
junction,-3.655,52.749
junction,-3.651,52.747
junction,-3.648,52.696
junction,-3.644,52.696
junction,-3.644,52.736
source,-3.640,52.714
junction,-3.640,52.745
junction,-3.636,52.713
junction,-3.632,52.713
source,-3.632,52.704
junction,-3.632,52.712
junction,-3.633,52.751
source,-3.631,52.712
source,-3.633,52.751
source,-3.631,52.733
source,-3.630,52.715
junction,-3.628,52.697
source,-3.626,52.695
junction,-3.625,52.703
junction,-3.622,52.698
junction,-3.621,52.728
source,-3.610,52.755
junction,-3.610,52.755
source,-3.579,52.755
source,-3.651,52.755
junction,-3.624,52.757
junction,-3.619,52.759
source,-3.670,52.759
source,-3.632,52.761
junction,-3.629,52.761
junction,-3.619,52.761
junction,-3.628,52.761
source,-3.628,52.761
source,-3.653,52.761
junction,-3.651,52.762
source,-3.656,52.763
source,-3.599,52.764
source,-3.580,52.767
junction,-3.623,52.767
junction,-3.627,52.771
source,-3.599,52.772
junction,-3.606,52.773
source,-3.633,52.773
junction,-3.627,52.773
source,-3.605,52.776
source,-3.584,52.778
junction,-3.631,52.779
junction,-3.690,52.837
junction,-3.690,52.836
source,-3.689,52.819
junction,-3.688,52.844
junction,-3.688,52.846
junction,-3.687,52.835
source,-3.687,52.844
source,-3.686,52.834
junction,-3.686,52.825
source,-3.686,52.841
source,-3.685,52.824
junction,-3.683,52.849
source,-3.680,52.845
source,-3.678,52.842
source,-3.678,52.849
junction,-3.677,52.853
junction,-3.676,52.853
source,-3.666,52.840
source,-3.663,52.815
junction,-3.664,52.845
source,-3.664,52.853
junction,-3.664,52.853
junction,-3.663,52.841
source,-3.663,52.843
junction,-3.663,52.843
source,-3.661,52.816
source,-3.661,52.820
source,-3.659,52.814
source,-3.660,52.835
junction,-3.659,52.835
junction,-3.705,52.863
junction,-3.705,52.863
junction,-3.704,52.862
source,-3.700,52.856
junction,-3.696,52.861
junction,-3.696,52.861
source,-3.695,52.860
source,-3.695,52.854
source,-3.695,52.863
junction,-3.695,52.862
source,-3.694,52.874
source,-3.693,52.886
junction,-3.690,52.862
source,-3.688,52.875
junction,-3.687,52.893
source,-3.686,52.864
source,-3.685,52.860
junction,-3.686,52.893
junction,-3.685,52.862
junction,-3.682,52.863
junction,-3.677,52.862
source,-3.675,52.867
junction,-3.675,52.862
junction,-3.673,52.863
junction,-3.672,52.891
source,-3.670,52.871
junction,-3.670,52.865
junction,-3.669,52.865
source,-3.669,52.889
source,-3.667,52.854
source,-3.701,52.679
junction,-3.701,52.684
source,-3.698,52.678
source,-3.697,52.654
junction,-3.694,52.660
junction,-3.692,52.646
source,-3.692,52.646
source,-3.689,52.656
source,-3.688,52.663
junction,-3.688,52.691
junction,-3.686,52.663
source,-3.685,52.679
source,-3.684,52.692
source,-3.674,52.670
source,-3.673,52.663
source,-3.667,52.658
source,-3.665,52.692
source,-3.663,52.680
junction,-3.659,52.646
junction,-3.654,52.648
source,-3.651,52.682
source,-3.651,52.665
junction,-3.650,52.680
junction,-3.648,52.644
junction,-3.641,52.648
source,-3.641,52.660
junction,-3.640,52.654
source,-3.756,52.737
source,-3.675,52.740
junction,-3.691,52.742
source,-3.722,52.743
junction,-3.696,52.746
source,-3.711,52.752
source,-3.732,52.754
junction,-3.700,52.758
source,-3.750,52.759
source,-3.750,52.759
junction,-3.752,52.760
source,-3.716,52.764
junction,-3.758,52.766
source,-3.756,52.766
junction,-3.757,52.766
source,-3.756,52.766
junction,-3.682,52.768
source,-3.680,52.769
source,-3.728,52.768
source,-3.685,52.772
source,-3.711,52.777
source,-3.757,52.780
junction,-3.714,52.692
source,-3.710,52.692
junction,-3.752,52.697
junction,-3.692,52.699
source,-3.733,52.699
junction,-3.718,52.700
source,-3.719,52.701
source,-3.720,52.702
junction,-3.674,52.704
source,-3.747,52.703
junction,-3.669,52.709
source,-3.754,52.709
junction,-3.689,52.710
source,-3.698,52.712
source,-3.725,52.715
junction,-3.687,52.721
source,-3.684,52.721
junction,-3.685,52.722
junction,-3.708,52.726
junction,-3.677,52.727
junction,-3.757,52.730
junction,-3.749,52.732
junction,-3.741,52.733
junction,-3.727,52.733
junction,-3.682,52.734
junction,-3.680,52.736
source,-3.744,52.737
junction,-3.726,52.737
source,-3.755,52.664
source,-3.755,52.674
source,-3.754,52.683
junction,-3.752,52.645
source,-3.750,52.651
junction,-3.751,52.685
junction,-3.743,52.686
source,-3.735,52.647
source,-3.733,52.674
junction,-3.729,52.679
junction,-3.728,52.678
source,-3.723,52.647
source,-3.719,52.653
junction,-3.717,52.690
junction,-3.714,52.651
junction,-3.715,52.679
junction,-3.711,52.649
junction,-3.711,52.649
junction,-3.710,52.654
junction,-3.709,52.672
junction,-3.706,52.654
source,-3.703,52.652
junction,-3.702,52.657
junction,-3.701,52.644
junction,-3.701,52.679
junction,-3.701,52.678
source,-3.762,52.839
source,-3.761,52.846
source,-3.755,52.831
source,-3.749,52.816
junction,-3.749,52.816
source,-3.747,52.818
source,-3.725,52.842
source,-3.725,52.851
junction,-3.722,52.814
junction,-3.722,52.831
junction,-3.721,52.815
source,-3.709,52.824
source,-3.710,52.829
junction,-3.709,52.832
source,-3.707,52.819
source,-3.705,52.840
source,-3.703,52.841
junction,-3.703,52.841
source,-3.702,52.840
junction,-3.702,52.840
junction,-3.701,52.842
