formOfNode,longitude,latitude
source,-2.976,53.130
source,-2.975,53.139
source,-2.974,53.130
source,-2.973,53.126
junction,-2.973,53.126
junction,-2.971,53.125
junction,-2.969,53.138
junction,-2.967,53.124
junction,-2.964,53.133
junction,-2.963,53.129
source,-2.960,53.129
junction,-2.958,53.130
junction,-3.104,53.078
source,-3.074,53.080
source,-3.107,53.080
source,-3.044,53.086
junction,-3.064,53.087
source,-3.137,53.087
junction,-3.066,53.090
junction,-3.039,53.092
source,-3.119,53.094
source,-3.093,53.096
junction,-3.121,53.098
junction,-3.080,53.101
junction,-3.083,53.105
source,-3.081,53.107
junction,-3.038,53.112
source,-3.038,53.113
junction,-3.147,53.115
junction,-3.146,53.120
source,-3.052,53.122
junction,-3.049,53.122
junction,-3.139,53.122
junction,-3.050,53.123
source,-3.094,53.123
junction,-3.136,53.125
junction,-3.091,53.126
source,-3.139,53.126
source,-3.057,53.127
junction,-3.051,53.128
junction,-3.100,53.128
source,-3.192,53.063
source,-3.189,53.096
junction,-3.182,53.057
source,-3.182,53.057
source,-3.177,53.096
junction,-3.175,53.056
source,-3.175,53.056
junction,-3.174,53.070
source,-3.173,53.071
source,-3.169,53.070
source,-3.153,53.066
source,-3.151,53.064
junction,-3.150,53.064
junction,-3.149,53.098
source,-3.148,53.087
source,-2.882,53.068
junction,-2.882,53.074
junction,-2.878,53.069
source,-2.951,53.043
junction,-2.953,53.129
source,-2.950,53.106
junction,-2.946,53.106
source,-2.945,53.099
junction,-2.934,53.103
source,-2.927,53.048
source,-2.927,53.094
source,-2.915,53.113
junction,-2.914,53.100
source,-2.910,53.086
source,-2.909,53.104
source,-2.906,53.092
source,-2.903,53.112
source,-2.901,53.050
junction,-2.902,53.099
junction,-2.901,53.091
junction,-2.899,53.098
junction,-2.896,53.111
junction,-2.895,53.115
junction,-2.893,53.096
junction,-2.886,53.121
source,-2.886,53.114
junction,-2.885,53.113
junction,-2.884,53.069
source,-2.883,53.068
junction,-2.884,53.114
source,-3.045,53.038
junction,-3.044,53.038
source,-3.078,53.040
junction,-3.064,53.044
source,-3.129,53.046
junction,-3.071,53.047
junction,-3.006,53.049
source,-3.079,53.050
source,-3.091,53.054
junction,-3.037,53.054
source,-3.017,53.055
source,-3.043,53.055
junction,-3.088,53.057
source,-3.144,53.056
source,-3.098,53.069
source,-3.133,53.069
junction,-3.129,53.071
source,-3.255,53.072
source,-3.252,53.046
source,-3.251,53.043
junction,-3.251,53.049
junction,-3.247,53.046
source,-3.229,53.102
source,-3.227,53.063
source,-3.225,53.083
source,-3.222,53.079
junction,-3.219,53.083
source,-3.214,53.095
source,-3.212,53.040
junction,-3.211,53.092
junction,-3.210,53.095
junction,-3.205,53.047
junction,-3.206,53.097
junction,-3.202,53.071
junction,-3.200,53.051
junction,-3.199,53.056
source,-3.198,53.049
junction,-3.196,53.056
junction,-3.195,53.066
source,-3.193,53.053
source,-3.277,53.035
source,-3.358,53.034
source,-3.284,53.039
junction,-3.346,53.039
junction,-3.284,53.041
junction,-3.333,53.041
junction,-3.355,53.047
source,-3.267,53.050
source,-3.294,53.049
junction,-3.294,53.050
source,-3.283,53.054
junction,-3.268,53.055
junction,-3.297,53.057
junction,-3.331,53.057
junction,-3.325,53.061
junction,-3.291,53.064
junction,-3.286,53.064
source,-3.350,53.067
source,-3.341,53.078
junction,-3.323,53.079
source,-3.299,53.080
junction,-3.300,53.083
source,-3.340,53.084
junction,-3.033,53.011
source,-3.029,53.012
source,-3.029,53.016
source,-2.967,53.018
source,-3.065,53.023
junction,-3.010,53.024
junction,-3.053,53.026
source,-3.008,53.029
junction,-3.008,53.029
junction,-2.984,53.030
source,-2.995,53.030
junction,-3.004,53.032
source,-3.050,53.032
junction,-2.975,53.035
junction,-2.975,53.036
junction,-3.037,53.036
junction,-3.358,53.002
source,-3.358,53.002
source,-3.352,52.983
junction,-3.352,52.983
source,-3.347,53.033
source,-3.344,53.020
junction,-3.341,52.981
source,-3.338,52.976
source,-3.329,52.978
source,-3.331,53.032
junction,-3.329,52.978
source,-3.327,53.002
junction,-3.326,52.979
source,-3.325,53.005
junction,-3.324,53.001
junction,-3.323,53.002
junction,-3.323,52.999
junction,-3.322,52.980
source,-3.322,53.024
source,-3.320,52.999
junction,-3.318,53.032
source,-3.308,53.022
source,-3.305,53.014
junction,-3.302,53.008
junction,-3.297,53.009
source,-3.295,53.007
source,-3.284,52.988
junction,-3.281,53.015
junction,-3.279,52.986
junction,-3.278,52.977
source,-3.277,52.995
source,-3.271,53.024
source,-3.270,53.010
junction,-3.268,53.022
junction,-3.265,52.978
junction,-3.265,53.022
source,-3.263,53.009
junction,-3.260,53.024
source,-3.258,53.030
