code,label,lng,lat,easting,northing,population,households,populationDensity
E07000042,Mid Devon,-3.5562,50.8758,290588,109637,82848,35633,90.8
E07000043,North Devon,-3.9146,51.0697,265967,131782,98608,43197,90.8
E07000044,South Hams,-3.8234,50.3735,270440,54205,88628,39335,100
E07000045,Teignbridge,-3.6569,50.6063,282849,79821,134805,59838,200.1
E07000046,Torridge,-4.2485,50.8859,241935,112003,68122,30457,69.2
E07000047,West Devon,-4.0460,50.6559,255465,86000,57093,24818,49.2
E07000061,Eastbourne,0.2655,50.7753,559822,99749,101685,45610,2302.6
E07000062,Hastings,0.5703,50.8695,580952,110924,91006,40453,3053.9
E07000063,Lewes,0.0053,50.8815,541167,111026,99912,43688,342
E07000064,Rother,0.5386,50.9518,578409,119997,93111,42102,182.8
E07000065,Wealden,0.1979,50.9676,554434,120966,160146,68266,192.2
E07000066,Basildon,0.4657,51.5903,570901,190821,187576,76362,1705.1
E07000067,Braintree,0.5901,51.9420,578133,230213,155267,64986,253.8
E07000068,Brentwood,0.3107,51.6385,559999,195829,77045,32342,503.2
E07000069,Castle Point,0.5937,51.5363,579982,185122,89591,37389,2005.4
E07000070,Chelmsford,0.4810,51.7254,571456,205876,181527,75401,535.9
E07000071,Colchester,0.8614,51.8726,597077,223202,192716,79710,587.2
E07000072,Epping Forest,0.1482,51.7088,548522,203300,134981,54557,398.2
E07000073,Harlow,0.1089,51.7690,545614,209915,93334,37857,3056.1
E07000074,Maldon,0.7838,51.7092,592438,204831,66208,27900,185
E07000075,Rochford,0.8101,51.5912,594750,191782,85667,35557,512.7
E07000076,Tendring,1.1155,51.8713,614571,223776,148287,67451,440.9
E07000077,Uttlesford,0.2795,51.9349,556816,228707,91340,36958,142.5
E07000078,Cheltenham,-2.0729,51.8963,395079,221973,118833,52899,2549.3
E07000079,Cotswold,-1.8925,51.8164,407474,213072,90834,40597,78
E07000080,Forest of Dean,-2.4898,51.8287,366318,214546,87006,37217,165.4
E07000081,Gloucester,-2.2404,51.8499,383531,216834,132409,55407,3266.6
E07000082,Stroud,-2.3001,51.7296,379361,203473,121103,52378,263
E07000083,Tewkesbury,-2.0880,51.9456,394038,227458,94888,40931,229
E07000084,Basingstoke and Deane,-1.2012,51.2735,455819,153006,185148,76645,292.1
E07000085,East Hampshire,-0.9548,51.0744,473316,131076,125741,52718,244.4
E07000086,Eastleigh,-1.3279,50.9331,447331,115065,136446,56924,1712.1
E07000087,Fareham,-1.2262,50.8524,454571,106165,114503,48639,1542.1
E07000088,Gosport,-1.1588,50.8055,459361,100995,81955,35922,3229.8
E07000089,Hart,-0.8979,51.2847,476958,154529,99409,39964,461.8
E07000090,Havant,-0.9898,50.8387,471226,104842,124207,53589,2228.4
E07000091,New Forest,-1.6255,50.8586,426464,106633,175778,77566,233.7
E07000092,Rushmoor,-0.7676,51.2742,486069,153516,99758,39303,2554.9
E07000093,Test Valley,-1.5110,51.1285,434314,136669,130488,54708,207.9
E07000094,Winchester,-1.2214,51.0282,454712,125708,127448,51715,192.8
E07000095,Broxbourne,-0.0483,51.7243,534904,204646,99005,39849,1924.9
E07000096,Dacorum,-0.5410,51.7783,500758,209858,155082,63412,729.8
E07000098,Hertsmere,-0.2807,51.6774,518976,199022,107822,42682,1065.9
E07000099,North Hertfordshire,-0.1924,51.9593,524291,230523,133211,56732,354.9
E07000102,Three Rivers,-0.4608,51.6613,506561,196949,93774,36858,1055.8
E07000103,Watford,-0.4028,51.6681,510556,197803,102244,39628,4772.2
E07000105,Ashford,0.8119,51.1252,596857,139969,132752,53583,228.6
E07000106,Canterbury,1.1014,51.2833,616375,158359,157431,63792,509.9
E07000107,Dartford,0.2541,51.4314,556785,172676,116756,45696,1605.3
E07000108,Dover,1.2892,51.2124,629815,151044,116407,50548,369.2
E07000109,Gravesham,0.3960,51.4056,566746,170115,106899,41724,1079.9
