code,label,cx,cy,pop,households,popDen,deprivation,deprivation4
E07000067,Braintree,578133,230213,51393377,64986,253.8,32498,96
E07000068,Brentwood,559999,195829,25501895,32342,503.2,14407,54
E07000069,Castle Point,579982,185122,29654621,37389,2005.4,21001,77
E07000070,Chelmsford,571456,205876,60085437,75401,535.9,34256,90
E07000071,Colchester,597077,223202,63788996,79710,587.2,38769,145
E07000072,Epping Forest,548522,203300,44678711,54557,398.2,26672,104
E07000073,Harlow,545614,209915,30893554,37857,3056.1,21604,188
E07000074,Maldon,592438,204831,21914848,27900,185,14058,29
E07000075,Rochford,594750,191782,28355777,35557,512.7,17988,51
E07000076,Tendring,614571,223776,49082997,67451,440.9,41592,244
E07000077,Uttlesford,556816,228707,30233540,36958,142.5,15506,25
E07000078,Cheltenham,395079,221973,39333723,52899,2549.3,23191,82
E07000079,Cotswold,407474,213072,30066054,40597,78,17452,25
E07000080,Forest of Dean,366318,214546,28798986,37217,165.4,19319,49
E07000081,Gloucester,383531,216834,43827379,55407,3266.6,28292,154
E07000082,Stroud,379361,203473,40085093,52378,263,23487,57
E07000083,Tewkesbury,394038,227458,31407928,40931,229,18388,44
E07000084,Basingstoke and Deane,455819,153006,61283988,76645,292.1,34462,86
E07000085,East Hampshire,473316,131076,41620271,52718,244.4,22674,61
E07000086,Eastleigh,447331,115065,45163626,56924,1712.1,25525,54
E07000087,Fareham,454571,106165,37900493,48639,1542.1,22073,47
E07000088,Gosport,459361,100995,27127105,35922,3229.8,19399,73
E07000089,Hart,476958,154529,32904379,39964,461.8,15712,23
E07000090,Havant,471226,104842,41112517,53589,2228.4,29187,201
E07000091,New Forest,426464,106633,58182518,77566,233.7,37659,127
E07000092,Rushmoor,486069,153516,33019898,39303,2554.9,19223,84
E07000093,Test Valley,434314,136669,43191528,54708,207.9,24247,53
E07000094,Winchester,454712,125708,42185288,51715,192.8,21562,56
E07000095,Broxbourne,534904,204646,32770655,39849,1924.9,21324,136
E07000096,Dacorum,500758,209858,51332142,63412,729.8,29215,142
E07000098,Hertsmere,518976,199022,35689082,42682,1065.9,20541,76
E07000099,North Hertfordshire,524291,230523,44092841,56732,354.9,25501,83
E07000102,Three Rivers,506561,196949,31039194,36858,1055.8,16466,81
E07000103,Watford,510556,197803,33842764,39628,4772.2,19577,107
E07000105,Ashford,596857,139969,43940912,53583,228.6,26799,105
E07000106,Canterbury,616375,158359,52109661,63792,509.9,33622,157
E07000107,Dartford,556785,172676,38646236,45696,1605.3,21850,99
E07000108,Dover,629815,151044,38530717,50548,369.2,27726,127
E07000109,Gravesham,566746,170115,35383569,41724,1079.9,22889,142
E07000110,Maidstone,580248,151563,58182518,71208,446.9,34505,156
E07000111,Sevenoaks,551567,155211,39890796,49013,326.4,22216,65
