date	temperature
01/01/10 01:03	4.1
01/01/10 02:01	4.0
01/01/10 04:04	3.9
01/01/10 06:38	3.8
01/01/10 08:29	3.8
01/01/10 10:52	3.8
01/01/10 12:57	3.8
01/01/10 14:31	3.7
01/01/10 16:59	3.7
01/01/10 18:03	4.0
01/01/10 20:36	4.5
01/01/10 22:10	5.2
02/01/10 00:11	5.9
02/01/10 00:12	4.3
02/01/10 02:43	4.2
02/01/10 02:50	6.3
02/01/10 04:02	6.4
02/01/10 04:09	4.1
02/01/10 06:26	4.0
02/01/10 06:40	6.3
02/01/10 08:08	5.9
02/01/10 08:43	3.9
02/01/10 10:23	3.9
02/01/10 10:53	5.4
02/01/10 12:21	3.9
02/01/10 12:32	5.1
02/01/10 14:28	3.8
02/01/10 14:54	4.9
02/01/10 16:21	4.9
02/01/10 16:56	3.8
02/01/10 18:46	4.7
02/01/10 18:52	4.2
02/01/10 20:15	4.7
02/01/10 20:28	4.6
02/01/10 22:06	5.3
02/01/10 22:57	4.4
03/01/10 00:07	5.9
03/01/10 00:51	4.4
03/01/10 02:32	4.3
03/01/10 02:41	6.4
03/01/10 04:25	6.6
03/01/10 04:43	4.2
03/01/10 06:35	6.5
03/01/10 06:36	4.1
03/01/10 08:19	6.1
03/01/10 08:21	4.1
03/01/10 10:00	4.0
03/01/10 10:59	5.5
03/01/10 12:46	4.0
03/01/10 12:58	5.3
03/01/10 14:10	5.1
03/01/10 14:46	3.9
03/01/10 16:17	5.0
03/01/10 16:24	4.0
03/01/10 18:08	4.3
03/01/10 18:38	4.8
03/01/10 20:01	4.8
03/01/10 20:49	4.7
03/01/10 22:18	4.5
03/01/10 22:55	5.4
04/01/10 00:36	4.5
04/01/10 00:59	6.1
04/01/10 02:02	4.3
04/01/10 02:28	6.6
04/01/10 04:08	4.3
04/01/10 04:17	6.7
04/01/10 06:21	6.6
04/01/10 06:44	4.2
04/01/10 08:00	6.2
04/01/10 08:11	4.1
04/01/10 10:05	4.0
04/01/10 10:40	5.6
04/01/10 12:24	4.1
04/01/10 12:26	5.4
04/01/10 14:32	5.2
04/01/10 14:53	4.1
04/01/10 16:18	4.1
04/01/10 16:29	5.2
04/01/10 18:18	4.9
04/01/10 18:57	4.4
04/01/10 20:00	4.8
04/01/10 20:23	4.9
04/01/10 22:19	4.7
04/01/10 22:53	5.5
05/01/10 00:16	4.6
05/01/10 00:41	6.2
05/01/10 02:20	6.6
05/01/10 02:42	4.4
05/01/10 04:03	4.3
05/01/10 04:46	6.8
05/01/10 06:10	4.2
05/01/10 06:51	6.7
05/01/10 08:14	6.4
05/01/10 08:25	4.2
05/01/10 10:17	4.1
05/01/10 10:23	5.8
05/01/10 12:30	4.1
05/01/10 12:50	5.5
05/01/10 14:02	5.3
05/01/10 14:16	4.1
05/01/10 16:05	4.1
05/01/10 16:36	5.2
05/01/10 18:21	5.1
05/01/10 18:46	4.5
05/01/10 20:32	4.9
05/01/10 20:43	5.0
05/01/10 22:26	4.8
05/01/10 22:39	5.6
06/01/10 00:26	4.7
06/01/10 00:48	6.3
06/01/10 02:36	6.7
06/01/10 02:43	4.6
06/01/10 04:38	4.6
06/01/10 04:43	6.9
06/01/10 06:19	6.8
06/01/10 06:35	4.4
06/01/10 08:40	4.3
06/01/10 08:41	6.4
06/01/10 10:42	5.9
06/01/10 10:42	4.2
06/01/10 12:17	5.6
06/01/10 12:31	4.3
06/01/10 14:33	4.2
06/01/10 14:49	5.5
06/01/10 16:32	4.3
06/01/10 16:48	5.4
06/01/10 18:20	4.6
06/01/10 18:39	5.2
06/01/10 20:07	5.2
06/01/10 20:36	5.1
