Longitude	Latitude	RemainVotes	LeaveVotes	DataSource
-2.222	50.754	11754	16966	Original
-2.981	53.057	28822	41544	Original
-4.572	55.550	36265	25241	Original
-1.202	50.953	42878	29886	Original
1.026	52.867	26214	37576	Original
-1.765	50.754	12782	18268	Original
-1.904	52.676	26064	37214	Original
-1.587	52.353	47976	33642	Original
-0.457	52.451	21680	30894	Original
0.492	51.278	36762	52365	Original
-3.348	54.662	22429	31809	Original
-4.335	55.555	33891	23942	Original
-1.166	52.275	20443	28938	Original
-3.604	56.090	106754	75466	Original
-2.578	51.706	21392	30251	Original
-2.659	53.726	26406	37318	Original
0.498	50.917	23916	33753	Original
-2.203	51.846	26801	37776	Original
-2.527	55.689	37952	26962	Original
-0.220	51.103	22388	31447	Original
-0.516	51.106	44341	31601	Original
-0.871	52.243	43805	61454	Original
-2.433	53.610	57589	80491	Original
1.161	52.055	27698	38655	Original
-3.408	55.900	51560	36948	Original
-0.779	51.292	20384	28396	Original
-2.977	53.398	118453	85101	Original
-1.909	50.745	35741	49707	Original
-0.960	52.763	12695	17610	Original
0.653	51.555	39348	54522	Original
-1.050	50.806	41384	57336	Original
-4.712	52.806	35517	25665	Original
-1.131	53.961	63617	45983	Original
-0.985	51.457	43385	31382	Original
-2.720	53.491	39322	54357	Original
-1.909	52.095	32188	44201	Original
-2.359	51.388	60878	44352	Original
-3.761	56.117	14691	10736	Original
-1.526	50.894	47199	64541	Original
-2.366	53.393	72293	53018	Original
-3.219	51.699	39178	53295	Original
-1.832	50.911	24786	33702	Original
-1.114	52.926	40522	29888	Original
-1.514	54.853	113521	153877	Original
-2.729	53.368	27678	37327	Original
0.290	50.767	22845	30700	Original
-3.038	50.915	42527	56940	Original
-1.486	52.919	51612	69043	Original
-4.643	51.756	29367	39155	Original
-4.091	51.071	24931	33100	Original
-2.979	53.741	19889	26317	Original
-0.523	53.230	18902	24992	Original
-4.609	55.642	38394	29110	Original
-2.281	52.633	78987	104166	Original
-3.813	51.606	32651	43001	Original
-2.616	53.608	27417	36098	Original
-2.353	53.480	47430	62385	Original
-2.080	54.315	11945	15691	Original
-3.668	55.973	44987	34271	Original
-1.294	52.370	25350	33199	Original
-1.268	51.675	43462	33192	Original
-0.906	51.395	55272	42229	Original
0.703	52.245	26986	35224	Original
-0.410	51.910	36708	47773	Original
-4.309	50.503	140540	182665	Original
-1.178	60.140	6907	5315	Original
-3.297	51.667	12574	16291	Original
-2.312	50.826	18399	23802	Original
-2.485	53.863	15892	20550	Original
-6.346	49.897	803	621	Original
-3.106	53.169	37867	48930	Original
-0.404	51.524	58040	74982	Original
-2.466	53.747	28522	36799	Original
1.214	52.639	37326	29040	Original
-1.544	54.521	24172	30994	Original
-2.064	51.902	37081	28932	Original
-0.724	51.245	44155	34458	Original
-1.761	52.428	53466	68484	Original
-0.628	51.305	31007	24214	Original
-0.487	52.027	69670	89134	Original
-2.159	52.955	34098	43386	Original
-3.005	51.593	32413	41236	Original
-3.945	57.102	70308	55349	Original
-0.114	51.611	76425	60481	Original
0.473	51.295	32792	41229	Original
-1.783	53.710	46950	58975	Original
-1.530	52.435	67967	85097	Original
0.118	51.488	65248	52117	Original
-1.174	53.025	30035	37542	Original
-1.953	52.371	26252	32563	Original
-2.775	53.562	28546	35323	Original
-3.528	50.697	35270	28533	Original
-2.571	56.785	32747	26511	Original
-0.854	54.152	14340	17710	Original
-7.502	56.981	8232	6671	Original
0.999	52.263	27391	33794	Original
-1.177	50.860	32210	39525	Original
-0.597	51.670	32241	26363	Original
-2.284	57.202	76445	62516	Original
-0.948	51.685	46245	37865	Original
0.607	51.080	35676	29320	Original
-1.830	50.723	41473	50453	Original
0.555	50.884	20011	24339	Original
-1.766	53.640	98485	118755	Original
-1.799	51.605	51220	61745	Original
-1.219	52.919	29672	35754	Original
-3.603	51.558	33723	40622	Original
-0.322	51.601	64042	53183	Original
-4.256	52.236	21711	18031	Original
-2.224	51.711	40446	33618	Original
-1.079	52.589	14292	17173	Original
-0.276	50.844	16914	20315	Original
0.154	50.810	44084	52808	Original
0.307	51.365	32091	38258	Original
-0.157	52.039	42234	35438	Original
1.555	52.641	35469	42268	Original
-1.145	52.087	25853	30771	Original
-0.600	51.524	24911	29631	Original
-0.083	51.386	92913	78221	Original
-2.571	53.356	52657	62487	Original
-0.481	51.368	20259	24035	Original
-0.257	52.369	45729	54198	Original
-1.793	53.851	104575	123913	Original
1.067	51.965	25309	29933	Original
-2.274	53.554	46354	54674	Original
-2.960	50.765	40743	48040	Original
-3.506	53.270	23955	28117	Original
-3.578	53.293	30147	35357	Original
0.084	51.585	69213	59020	Original
-0.695	51.402	29888	35002	Original
-0.679	51.427	44086	37706	Original
-3.616	50.507	37949	44363	Original
-1.188	52.678	43500	50672	Original
-1.410	50.910	49738	57927	Original
-4.261	51.895	47654	55381	Original
-3.720	51.801	36762	42707	Original
-0.130	51.363	49319	57241	Original
-3.433	51.702	53973	62590	Original
-2.216	52.204	25125	29114	Original
-1.582	54.294	25480	29502	Original
-1.607	51.737	35236	30435	Original
0.910	51.860	44414	51305	Original
-1.511	55.012	52873	60589	Original
-3.648	50.789	22400	25606	Original
-2.395	54.769	14807	16911	Original
-2.737	53.766	30227	34518	Original
-2.103	51.999	25084	28568	Original
-4.182	50.456	16658	18937	Original
-0.082	51.047	46471	41057	Original
-0.300	51.321	29088	25708	Original
-3.061	55.005	43864	38803	Original
1.596	52.157	37218	41966	Original
-0.379	50.832	28851	32515	Original
-3.126	51.011	30944	34789	Original
-2.832	54.203	34531	30800	Original
-3.729	50.325	29308	26142	Original
0.052	51.514	55328	49371	Original
-0.108	51.242	24251	27169	Original
0.558	51.680	47545	53249	Original
-2.000	53.932	16930	18961	Original
-2.614	51.522	74928	83405	Original
-1.618	51.484	137258	151637	Original
-1.308	50.968	36172	39902	Original
-0.781	51.330	30282	27513	Original
-2.096	53.430	85559	77930	Original
-2.728	51.415	59572	64976	Original
-2.368	52.173	23203	25294	Original
-0.258	51.366	23596	21707	Original
0.020	50.924	30974	28508	Original
-0.749	51.616	49261	45529	Original
-1.504	50.988	36170	39091	Original
-0.985	51.278	48257	52071	Original
-3.053	53.600	76702	71176	Original
-0.455	52.165	41497	44569	Original
-1.134	51.362	48300	44977	Original
-3.005	53.356	88931	83069	Original
1.106	52.577	38817	41541	Original
-1.727	53.016	22633	24095	Original
-1.870	52.221	38341	40817	Original
-2.860	53.433	34345	36558	Original
-4.038	51.584	58307	61936	Original
-0.461	51.016	43785	41303	Original
-0.719	52.001	63393	67063	Original
-0.418	51.703	25751	27097	Original
-2.311	53.102	107962	113163	Original
-1.897	51.719	28015	26806	Original
-2.845	54.075	35732	37309	Original
-1.139	52.662	70980	67992	Original
-2.542	51.239	33427	32028	Original
-0.424	51.456	58755	56321	Original
1.188	51.240	40169	41879	Original
-2.746	50.810	31924	33267	Original
-1.485	53.340	130735	136018	Original
-0.687	51.362	25638	26667	Original
-1.536	54.009	48211	46374	Original
-4.463	53.204	18618	19333	Original
0.259	52.224	23599	24487	Original
-0.847	50.833	35011	36326	Original
-1.166	52.962	59318	61343	Original
-0.315	51.691	27593	28532	Original
-0.939	52.619	27028	27850	Original
-3.271	51.393	36681	35628	Original
-1.669	54.976	65405	63598	Original
-0.645	51.616	20077	20647	Original
-2.795	53.213	95455	98082	Original
0.315	52.052	25619	26324	Original
-0.454	51.759	42542	43702	Original
0.043	51.399	92398	90034	Original
-0.796	52.602	11353	11613	Original
-1.900	53.263	27116	27717	Original
-0.984	51.152	37346	36576	Original
-0.728	51.804	52877	53956	Original
-0.210	51.319	40181	40980	Original
-2.796	51.608	28061	27569	Original
-1.811	52.454	223451	227251	Original
-1.688	53.868	194863	192474	Original
-1.314	52.016	40668	41168	Original
-0.399	51.675	23167	23419	Original
-3.235	57.464	24114	23992	Original
-0.116	51.499	110876	29575	rand5pc
-0.095	51.569	80131	22237	rand5pc
-0.115	51.534	80233	24796	rand5pc
-0.141	51.596	77912	24973	rand5pc
-0.155	51.452	120443	39273	rand5pc
-3.326	55.929	186030	61326	rand5pc
-0.028	52.975	7355	22062	rand5pc
-4.501	55.764	40304	13710	rand5pc
-0.080	51.517	3194	1107	rand5pc
-0.171	51.547	68037	23697	rand5pc
-0.081	51.473	96011	34275	rand5pc
0.157	52.209	43964	15803	rand5pc
-0.170	52.667	12920	35378	rand5pc
0.559	51.566	14297	38843	rand5pc
0.249	51.499	21765	57653	rand5pc
-4.302	55.938	45937	17362	rand5pc
1.708	52.585	13628	34683	rand5pc
-0.111	52.566	15297	38192	rand5pc
-1.282	53.287	12270	30100	rand5pc
0.184	53.264	24662	59109	rand5pc
0.152	51.569	40133	96061	rand5pc
-1.206	51.763	49735	20792	rand5pc
-0.223	51.502	54803	22960	rand5pc
-1.177	53.588	45450	108430	rand5pc
-1.173	53.134	17160	39970	rand5pc
0.999	51.857	24215	56154	rand5pc
-0.033	51.437	84090	36370	rand5pc
-0.176	51.535	54612	23773	rand5pc
-1.211	53.028	21096	47829	rand5pc
-1.218	54.677	14284	31751	rand5pc
-2.126	52.470	54408	120939	rand5pc
-1.922	52.742	17012	37772	rand5pc
-0.038	53.557	23810	52682	rand5pc
-1.214	53.355	42818	93693	rand5pc
-2.139	53.039	37594	81415	rand5pc
-0.159	50.826	102826	47906	rand5pc
-0.239	51.485	73859	34443	rand5pc
-0.055	51.532	72800	34032	rand5pc
-0.021	51.744	16568	35320	rand5pc
0.106	51.759	13640	28998	rand5pc
0.435	51.637	31903	67483	rand5pc
-1.418	53.547	38178	80192	rand5pc
-0.356	53.757	37693	78898	rand5pc
-1.975	52.480	47868	99708	rand5pc
-1.665	52.637	13626	28336	rand5pc
-1.534	52.538	12591	25952	rand5pc
-0.193	51.500	36196	17642	rand5pc
-3.880	56.067	32430	15831	rand5pc
-0.822	53.391	21227	43286	rand5pc
