Date,Pollster,Answer,Percent
2020-02-07,BMG Research,Rejoin,42
2020-02-07,BMG Research,Stay out,46
2020-02-07,BMG Research,no answer / don't know,12
2020-03-06,BMG Research,Rejoin,40
2020-03-06,BMG Research,Stay out,48
2020-03-06,BMG Research,no answer / don't know,12
2020-04-09,BMG Research,Rejoin,43
2020-04-09,BMG Research,Stay out,47
2020-04-09,BMG Research,no answer / don't know,10
2020-07-13,Kantar,Rejoin,33
2020-07-13,Kantar,Stay out,39
2020-07-13,Kantar,no answer / don't know,28
2020-08-10,Kantar,Rejoin,37
2020-08-10,Kantar,Stay out,33
2020-08-10,Kantar,no answer / don't know,30
2020-09-21,Kantar,Rejoin,31
2020-09-21,Kantar,Stay out,38
2020-09-21,Kantar,no answer / don't know,31
2020-11-09,Kantar,Rejoin,37
2020-11-09,Kantar,Stay out,33
2020-11-09,Kantar,no answer / don't know,30
2020-12-14,Kantar,Rejoin,32
2020-12-14,Kantar,Stay out,34
2020-12-14,Kantar,no answer / don't know,34
2021-01-19,YouGov,Rejoin,42
2021-01-19,YouGov,Stay out,40
2021-01-19,YouGov,no answer / don't know,18
2021-01-25,Kantar,Rejoin,34
2021-01-25,Kantar,Stay out,37
2021-01-25,Kantar,no answer / don't know,29
2021-02-17,YouGov,Rejoin,39
2021-02-17,YouGov,Stay out,41
2021-02-17,YouGov,no answer / don't know,20
2021-02-22,Kantar,Rejoin,33
2021-02-22,Kantar,Stay out,33
2021-02-22,Kantar,no answer / don't know,34
2021-03-16,YouGov,Rejoin,40
2021-03-16,YouGov,Stay out,41
2021-03-16,YouGov,no answer / don't know,19
2021-03-19,BMG Research,Rejoin,43
2021-03-19,BMG Research,Stay out,49
2021-03-19,BMG Research,no answer / don't know,8
2021-03-29,Kantar,Rejoin,32
2021-03-29,Kantar,Stay out,38
2021-03-29,Kantar,no answer / don't know,30
2021-04-08,JL Partners,Rejoin,39
2021-04-08,JL Partners,Stay out,46
2021-04-08,JL Partners,no answer / don't know,15
2021-04-22,YouGov,Rejoin,38
2021-04-22,YouGov,Stay out,43
2021-04-22,YouGov,no answer / don't know,19
2021-04-26,Kantar,Rejoin,31
2021-04-26,Kantar,Stay out,37
2021-04-26,Kantar,no answer / don't know,32
2021-05-25,YouGov,Rejoin,39
2021-05-25,YouGov,Stay out,44
2021-05-25,YouGov,no answer / don't know,17
2021-06-07,Kantar,Rejoin,31
2021-06-07,Kantar,Stay out,38
2021-06-07,Kantar,no answer / don't know,31
2021-06-23,YouGov,Rejoin,39
2021-06-23,YouGov,Stay out,41
2021-06-23,YouGov,no answer / don't know,20
2021-07-12,Kantar,Rejoin,33
2021-07-12,Kantar,Stay out,38
2021-07-12,Kantar,no answer / don't know,29
2021-07-21,YouGov,Rejoin,39
2021-07-21,YouGov,Stay out,41
2021-07-21,YouGov,no answer / don't know,20
2021-08-13,YouGov,Rejoin,41
2021-08-13,YouGov,Stay out,41
2021-08-13,YouGov,no answer / don't know,18
2021-08-23,Kantar,Rejoin,33
