id,cohort,session,attendance
18,PG Data Sci,8,0
18,PG Data Sci,9,0
18,PG Data Sci,10,0
19,PG Data Sci,1,1
19,PG Data Sci,2,1
19,PG Data Sci,3,1
19,PG Data Sci,4,1
19,PG Data Sci,5,1
19,PG Data Sci,6,1
19,PG Data Sci,7,1
19,PG Data Sci,8,1
19,PG Data Sci,9,1
19,PG Data Sci,10,1
20,PG Data Sci,1,0
20,PG Data Sci,2,1
20,PG Data Sci,3,0
20,PG Data Sci,4,1
20,PG Data Sci,5,1
20,PG Data Sci,6,1
20,PG Data Sci,7,0
20,PG Data Sci,8,0
20,PG Data Sci,9,0
20,PG Data Sci,10,0
21,PG Data Sci,1,1
21,PG Data Sci,2,1
21,PG Data Sci,3,0
21,PG Data Sci,4,0
21,PG Data Sci,5,0
21,PG Data Sci,6,1
21,PG Data Sci,7,0
21,PG Data Sci,8,0
21,PG Data Sci,9,0
21,PG Data Sci,10,0
22,PG Data Sci,1,1
22,PG Data Sci,2,1
22,PG Data Sci,3,1
22,PG Data Sci,4,1
22,PG Data Sci,5,0
22,PG Data Sci,6,1
22,PG Data Sci,7,1
22,PG Data Sci,8,1
22,PG Data Sci,9,0
22,PG Data Sci,10,1
23,PG Data Sci,1,1
23,PG Data Sci,2,0
23,PG Data Sci,3,0
23,PG Data Sci,4,0
23,PG Data Sci,5,0
23,PG Data Sci,6,1
23,PG Data Sci,7,1
23,PG Data Sci,8,0
23,PG Data Sci,9,1
23,PG Data Sci,10,0
24,PG Data Sci,1,1
24,PG Data Sci,2,1
24,PG Data Sci,3,1
24,PG Data Sci,4,1
24,PG Data Sci,5,0
24,PG Data Sci,6,1
24,PG Data Sci,7,1
24,PG Data Sci,8,1
24,PG Data Sci,9,1
24,PG Data Sci,10,1
25,PG Data Sci,1,1
25,PG Data Sci,2,0
25,PG Data Sci,3,0
25,PG Data Sci,4,1
25,PG Data Sci,5,1
25,PG Data Sci,6,1
25,PG Data Sci,7,1
25,PG Data Sci,8,0
25,PG Data Sci,9,0
25,PG Data Sci,10,1
26,PG Data Sci,1,1
26,PG Data Sci,2,1
26,PG Data Sci,3,1
26,PG Data Sci,4,1
26,PG Data Sci,5,1
26,PG Data Sci,6,1
26,PG Data Sci,7,1
26,PG Data Sci,8,1
26,PG Data Sci,9,1
26,PG Data Sci,10,1
27,PG Data Sci,1,1
27,PG Data Sci,2,1
27,PG Data Sci,3,1
27,PG Data Sci,4,1
27,PG Data Sci,5,1
27,PG Data Sci,6,1
27,PG Data Sci,7,0
27,PG Data Sci,8,1
27,PG Data Sci,9,1
27,PG Data Sci,10,1
28,PG Data Sci,1,1
28,PG Data Sci,2,1
28,PG Data Sci,3,1
28,PG Data Sci,4,1
28,PG Data Sci,5,1
28,PG Data Sci,6,1
28,PG Data Sci,7,1
28,PG Data Sci,8,0
28,PG Data Sci,9,0
28,PG Data Sci,10,1
29,PG Data Sci,1,1
29,PG Data Sci,2,0
29,PG Data Sci,3,1
29,PG Data Sci,4,1
29,PG Data Sci,5,1
29,PG Data Sci,6,1
29,PG Data Sci,7,0
29,PG Data Sci,8,0
29,PG Data Sci,9,0
29,PG Data Sci,10,1
30,PG Data Sci,1,0
30,PG Data Sci,2,1
30,PG Data Sci,3,1
30,PG Data Sci,4,1
30,PG Data Sci,5,1
30,PG Data Sci,6,1
30,PG Data Sci,7,1
30,PG Data Sci,8,1
30,PG Data Sci,9,0
30,PG Data Sci,10,1
31,PG Data Sci,1,0
31,PG Data Sci,2,0
31,PG Data Sci,3,1
31,PG Data Sci,4,1
31,PG Data Sci,5,1
31,PG Data Sci,6,0
31,PG Data Sci,7,1
31,PG Data Sci,8,1
31,PG Data Sci,9,1
31,PG Data Sci,10,1
32,PG Data Sci,1,1
32,PG Data Sci,2,1
32,PG Data Sci,3,0
32,PG Data Sci,4,1
32,PG Data Sci,5,0
32,PG Data Sci,6,1
32,PG Data Sci,7,1
32,PG Data Sci,8,0
32,PG Data Sci,9,0
32,PG Data Sci,10,1
33,PG Data Sci,1,1
33,PG Data Sci,2,0
33,PG Data Sci,3,0
33,PG Data Sci,4,0
33,PG Data Sci,5,0
33,PG Data Sci,6,0
33,PG Data Sci,7,0
33,PG Data Sci,8,0
33,PG Data Sci,9,0
33,PG Data Sci,10,0
34,PG Data Sci,1,1
34,PG Data Sci,2,0
34,PG Data Sci,3,1
34,PG Data Sci,4,1
34,PG Data Sci,5,1
34,PG Data Sci,6,1
