decade,cName,hex,hue,sat,lum,hueX,hueY,perc
1990s,Dark Gray,#545955,132,0.03,0.34,0.74,-0.67,2.28
1990s,Brown,#6e3903,30,0.95,0.22,0.50,0.87,1.3
1990s,Trans-Neon Green,#faf15b,57,0.94,0.67,0.84,0.54,0.71
1990s,Trans-Clear,#eeeeee,0,0.00,0.93,0.00,1.00,0.6459
1990s,Trans-Yellow,#faf15d,57,0.94,0.67,0.84,0.54,0.583
1990s,Trans-Red,#B82700,13,1.00,0.36,0.22,0.97,0.5643
1990s,Trans-Light Blue,#addded,195,0.64,0.80,-0.26,-0.97,0.4878
1990s,Trans-Dark Blue,#042fca,227,0.96,0.40,-0.73,-0.68,0.4088
1990s,Tan,#b0a06f,45,0.29,0.56,0.71,0.71,0.3892
1990s,Trans-Neon Orange,#fb7248,14,0.96,0.63,0.24,0.97,0.3263
1990s,Dark Turquoise,#069d9f,181,0.93,0.32,-0.02,-1.00,0.2872
1990s,Trans-Green,#73b464,109,0.35,0.55,0.95,-0.33,0.2346
1990s,Chrome Silver,#cecece,0,0.00,0.81,0.00,1.00,0.2188
1990s,Purple,#7454b8,259,0.41,0.53,-0.98,-0.19,0.2023
1990s,Pink,#f6a9bb,346,0.81,0.81,-0.24,0.97,0.2023
1990s,Chrome Gold,#dfc176,43,0.62,0.67,0.68,0.73,0.1976
1990s,Dark Pink,#d05098,326,0.58,0.56,-0.56,0.83,0.1916
1990s,Orange,#ff8500,31,1.00,0.50,0.52,0.86,0.1186
1990s,Bright Green,#58ab41,107,0.45,0.46,0.96,-0.29,0.0714
1990s,Royal Blue,#1c58a7,214,0.71,0.38,-0.56,-0.83,0.0501
1990s,Medium Blue,#7396c8,215,0.44,0.62,-0.57,-0.82,0.0404
1990s,Light Yellow,#ffd67f,41,1.00,0.75,0.66,0.75,0.0395
1990s,Light Violet,#afbed6,217,0.32,0.76,-0.60,-0.80,0.0344
1990s,Light Green,#add9a8,114,0.39,0.75,0.91,-0.41,0.0319
1990s,Medium Green,#7fc475,112,0.40,0.61,0.93,-0.37,0.0212
1990s,Lime,#a5ca18,72,0.79,0.44,0.95,0.31,0.0174
1990s,Metallic Silver,#cecece,0,0.00,0.81,0.00,1.00,0.0144
1990s,Medium Orange,#f58624,28,0.91,0.55,0.47,0.88,0.014
1990s,Glow In Dark Opaque,#e5dfd3,40,0.26,0.86,0.64,0.77,0.0106
1990s,Milky White,#e9e9e9,0,0.00,0.91,0.00,1.00,0.0085
1990s,Maersk Blue,#abd9ff,207,1.00,0.84,-0.45,-0.89,0.0085
1990s,Medium Dark Pink,#c86a8f,336,0.46,0.60,-0.41,0.91,0.0085
1990s,Rust,#872b17,11,0.71,0.31,0.19,0.98,0.0042
1990s,Chrome Blue,#4b6e8e,209,0.31,0.43,-0.48,-0.87,0.0042
1990s,Earth Orange,#d86d2c,23,0.69,0.51,0.39,0.92,0.0034
1990s,Violet,#b26ce9,274,0.74,0.67,-1.00,0.07,0.0034
1990s,Trans-Black,#8f8c80,48,0.06,0.53,0.74,0.67,0.003
1990s,Light Pink,#f17880,356,0.81,0.71,-0.07,1.00,0.0025
1990s,Glitter Trans-Dark Pink,#cd9ab1,333,0.34,0.70,-0.45,0.89,0.0025
1990s,Light Salmon,#f9b7a5,13,0.87,0.81,0.22,0.97,0.0021
1990s,Trans-Dark Pink,#f18ebb,333,0.78,0.75,-0.45,0.89,0.0021
1990s,Light Blue,#97cbd9,193,0.46,0.72,-0.22,-0.97,0.0017
1990s,Salmon,#f06d61,5,0.83,0.66,0.09,1.00,0.0013
1990s,Metallic Gold,#dfc176,43,0.62,0.67,0.68,0.73,0.0008
1990s,Medium Lime,#b7d425,70,0.70,0.49,0.94,0.34,0.0008
1990s,Chrome Green,#7bd095,138,0.47,0.65,0.67,-0.74,0.0008
