DateTime,NOX
2018/01/02 23:00,70.4
2018/01/02 23:15,56.7
2018/01/02 23:30,28
2018/01/02 23:45,36.6
2018/01/03 00:00,35.6
2018/01/03 00:15,32.3
2018/01/03 00:30,35.5
2018/01/03 00:45,25.3
2018/01/03 01:00,32.4
2018/01/03 01:15,32.2
2018/01/03 01:30,27.1
2018/01/03 01:45,23
2018/01/03 02:00,39.9
2018/01/03 02:15,20.1
2018/01/03 02:30,22.3
2018/01/03 02:45,16.9
2018/01/03 03:00,22.5
2018/01/03 03:15,23
2018/01/03 03:30,25.4
2018/01/03 03:45,22.2
2018/01/03 04:00,23.3
2018/01/03 04:15,25
2018/01/03 04:30,26.6
2018/01/03 04:45,30.5
2018/01/03 05:00,60.7
2018/01/03 05:15,57.6
2018/01/03 05:30,55.5
2018/01/03 05:45,47.7
2018/01/03 06:00,57.5
2018/01/03 06:15,86
2018/01/03 06:30,87.2
2018/01/03 06:45,121.7
2018/01/03 07:00,177.7
2018/01/03 07:15,178.5
2018/01/03 07:30,107.4
2018/01/03 07:45,108.7
2018/01/03 08:00,137
2018/01/03 08:15,127.4
2018/01/03 08:30,131.3
2018/01/03 08:45,98.5
2018/01/03 09:00,123.3
2018/01/03 09:15,114.1
2018/01/03 09:30,97.4
2018/01/03 09:45,147.4
2018/01/03 10:00,112.7
2018/01/03 10:15,131.8
2018/01/03 10:30,123.8
2018/01/03 10:45,116.7
2018/01/03 11:00,139.2
2018/01/03 11:15,124.3
2018/01/03 11:30,140.8
2018/01/03 11:45,121.6
2018/01/03 12:00,130.9
2018/01/03 12:15,117.7
2018/01/03 12:30,118.6
2018/01/03 12:45,109.1
2018/01/03 13:00,109.5
2018/01/03 13:15,114.8
2018/01/03 13:30,121.6
2018/01/03 13:45,112.2
2018/01/03 14:00,139.8
2018/01/03 14:15,157.8
2018/01/03 14:30,118.9
2018/01/03 14:45,206.1
2018/01/03 15:00,173.1
2018/01/03 15:15,271.7
2018/01/03 15:30,211.1
2018/01/03 15:45,179.9
2018/01/03 16:00,192.7
2018/01/03 16:15,157.1
2018/01/03 16:30,135.4
2018/01/03 16:45,166.3
2018/01/03 17:00,171.6
2018/01/03 17:15,122.1
2018/01/03 17:30,160.9
2018/01/03 17:45,99.9
2018/01/03 18:00,140
2018/01/03 18:15,122.6
2018/01/03 18:30,158.3
2018/01/03 18:45,109.2
2018/01/03 19:00,95.3
2018/01/03 19:15,127.6
2018/01/03 19:30,99.6
2018/01/03 19:45,97
2018/01/03 20:00,95.4
2018/01/03 20:15,92
2018/01/03 20:30,135.9
2018/01/03 20:45,119.7
2018/01/03 21:00,115.5
2018/01/03 21:15,111.6
2018/01/03 21:30,109.6
2018/01/03 21:45,105.2
2018/01/03 22:00,120.2
2018/01/03 22:15,96.9
2018/01/03 22:30,59.8
2018/01/03 22:45,111.4
2018/01/03 23:00,92.7
2018/01/03 23:15,88.7
2018/01/03 23:30,60.4
2018/01/03 23:45,103.4
2018/01/04 00:00,76.3
2018/01/04 00:15,71.7
2018/01/04 00:30,63.2
2018/01/04 00:45,84.5
2018/01/04 01:00,43.6
2018/01/04 01:15,37.9
2018/01/04 01:30,54.6
2018/01/04 01:45,44.8
2018/01/04 02:00,36.6
2018/01/04 02:15,49.7
2018/01/04 02:30,36.7
2018/01/04 02:45,33
2018/01/04 03:00,29.3
2018/01/04 03:15,31.1
2018/01/04 03:30,34
2018/01/04 03:45,54.6
2018/01/04 04:00,65
2018/01/04 04:15,64.8
2018/01/04 04:30,103.4
2018/01/04 04:45,77.6
2018/01/04 05:00,84.5
2018/01/04 05:15,89.2
2018/01/04 05:30,53.5
2018/01/04 05:45,44.9
2018/01/04 06:00,55.5
2018/01/04 06:15,60.2
2018/01/04 06:30,66.8
2018/01/04 06:45,90.4
2018/01/04 07:00,77.9
2018/01/04 07:15,79.2
2018/01/04 07:30,92.2
2018/01/04 07:45,113.8
2018/01/04 08:00,97.5
2018/01/04 08:15,230.3
2018/01/04 08:30,166.5
2018/01/04 08:45,341
2018/01/04 09:00,283.8
2018/01/04 09:15,251.2
2018/01/04 09:30,219.7
2018/01/04 09:45,223.8
2018/01/04 10:00,205.1
2018/01/04 10:15,179.7
2018/01/04 10:30,258.9
2018/01/04 10:45,156.7
2018/01/04 11:00,170.7
2018/01/04 11:15,145.6
2018/01/04 11:30,116.1
2018/01/04 11:45,142
2018/01/04 12:00,109
2018/01/04 12:15,126.2
2018/01/04 12:30,146.5
2018/01/04 12:45,144.5
2018/01/04 13:00,98.3
2018/01/04 13:15,129.7
2018/01/04 13:30,96.7
2018/01/04 13:45,106.5
2018/01/04 14:00,114
2018/01/04 14:15,80.9
2018/01/04 14:30,94.5
2018/01/04 14:45,92.6
2018/01/04 15:00,147
2018/01/04 15:15,151.4
2018/01/04 15:30,140
2018/01/04 15:45,145.9
2018/01/04 16:00,105.5
2018/01/04 16:15,122.9
2018/01/04 16:30,166.1
2018/01/04 16:45,186.9
2018/01/04 17:00,130.8
2018/01/04 17:15,133
2018/01/04 17:30,174.9
2018/01/04 17:45,194.6
2018/01/04 18:00,240.9
2018/01/04 18:15,182.3
2018/01/04 18:30,131.1
2018/01/04 18:45,123.6
2018/01/04 19:00,152.7
2018/01/04 19:15,152
2018/01/04 19:30,121.9
2018/01/04 19:45,165.4
2018/01/04 20:00,183.7
2018/01/04 20:15,122.4
2018/01/04 20:30,90.4
2018/01/04 20:45,124.5
2018/01/04 21:00,79.1
2018/01/04 21:15,111.1
2018/01/04 21:30,146.1
2018/01/04 21:45,116.7
2018/01/04 22:00,105.2
2018/01/04 22:15,132.8
2018/01/04 22:30,156.4
2018/01/04 22:45,154.5
2018/01/04 23:00,148.2
2018/01/04 23:15,174.5
2018/01/04 23:30,132.7
2018/01/04 23:45,112.4
2018/01/05 00:00,142.2
2018/01/05 00:15,145
2018/01/05 00:30,140.2
2018/01/05 00:45,150.4
2018/01/05 01:00,71.4
2018/01/05 01:15,89.9
2018/01/05 01:30,83.9
2018/01/05 01:45,58.6
2018/01/05 02:00,61.3
2018/01/05 02:15,52.7
2018/01/05 02:30,47.7
2018/01/05 02:45,52.8
2018/01/05 03:00,38.3
2018/01/05 03:15,39.5
2018/01/05 03:30,46
2018/01/05 03:45,42.7
2018/01/05 04:00,57.4
2018/01/05 04:15,55.3
2018/01/05 04:30,37.7
2018/01/05 04:45,47.3
2018/01/05 05:00,152.5
2018/01/05 05:15,110.8
2018/01/05 05:30,154.8
2018/01/05 05:45,126.2
2018/01/05 06:00,174.5
2018/01/05 06:15,252.9
2018/01/05 06:30,271.6
2018/01/05 06:45,241.9
2018/01/05 07:00,230.4
2018/01/05 07:15,198.6
2018/01/05 07:30,221.4
2018/01/05 07:45,256.6
2018/01/05 08:00,254.4
2018/01/05 08:15,305.6
2018/01/05 08:30,271.1
2018/01/05 08:45,283
2018/01/05 09:00,282.8
2018/01/05 09:15,223.7
2018/01/05 09:30,242.1
2018/01/05 09:45,327.1
2018/01/05 10:00,235.7
2018/01/05 10:15,193
2018/01/05 10:30,240.9
2018/01/05 10:45,222.8
2018/01/05 11:00,156.9
2018/01/05 11:15,166.2
2018/01/05 11:30,162.5
2018/01/05 11:45,179.4
2018/01/05 12:00,162.4
2018/01/05 12:15,154.7
2018/01/05 12:30,144.7
2018/01/05 12:45,186.8
2018/01/05 13:00,133.8
2018/01/05 13:15,173
2018/01/05 13:30,145.3
2018/01/05 13:45,171.4
2018/01/05 14:00,157.2
2018/01/05 14:15,220.6
2018/01/05 14:30,165.8
2018/01/05 14:45,244
2018/01/05 15:00,187.3
2018/01/05 15:15,199.6
2018/01/05 15:30,192.9
2018/01/05 15:45,189.7
2018/01/05 16:00,235
2018/01/05 16:15,271.9
2018/01/05 16:30,382.2
2018/01/05 16:45,315.9
2018/01/05 17:00,379.1
2018/01/05 17:15,310.8
2018/01/05 17:30,340.3
2018/01/05 17:45,384
2018/01/05 18:00,352.7
2018/01/05 18:15,257
2018/01/05 18:30,334.1
2018/01/05 18:45,276.7
2018/01/05 19:00,292.9
2018/01/05 19:15,253.2
2018/01/05 19:30,399.9
2018/01/05 19:45,289.2
2018/01/05 20:00,337.6
2018/01/05 20:15,283.4
2018/01/05 20:30,293.2
2018/01/05 20:45,224.4
2018/01/05 21:00,162.8
2018/01/05 21:15,136.2
2018/01/05 21:30,175
2018/01/05 21:45,143.6
2018/01/05 22:00,158.5
2018/01/05 22:15,228.1
2018/01/05 22:30,197.8
2018/01/05 22:45,176
2018/01/05 23:00,155.4
2018/01/05 23:15,179
2018/01/05 23:30,199.6
2018/01/05 23:45,229.7
2018/01/06 00:00,212.1
2018/01/06 00:15,243.1
2018/01/06 00:30,199.4
2018/01/06 00:45,223
2018/01/06 01:00,237.3
2018/01/06 01:15,266.3
2018/01/06 01:30,196.5
2018/01/06 01:45,267.9
2018/01/06 02:00,170.9
2018/01/06 02:15,168.2
2018/01/06 02:30,196.2
2018/01/06 02:45,211.5
2018/01/06 03:00,194.1
2018/01/06 03:15,191.6
2018/01/06 03:30,197.3
2018/01/06 03:45,194.5
2018/01/06 04:00,277.9
2018/01/06 04:15,255.8
2018/01/06 04:30,170.3
2018/01/06 04:45,173.9
2018/01/06 05:00,227.8
2018/01/06 05:15,217.7
2018/01/06 05:30,189.3
2018/01/06 05:45,181.2
2018/01/06 06:00,217.1
2018/01/06 06:15,209.8
2018/01/06 06:30,124.6
2018/01/06 06:45,109.4
2018/01/06 07:00,155
2018/01/06 07:15,224.2
2018/01/06 07:30,192
2018/01/06 07:45,241.2
2018/01/06 08:00,223.4
2018/01/06 08:15,198.4
2018/01/06 08:30,195.5
2018/01/06 08:45,134.9
2018/01/06 09:00,177.1
2018/01/06 09:15,153.4
2018/01/06 09:30,214.6
2018/01/06 09:45,233.9
2018/01/06 10:00,201.7
2018/01/06 10:15,168
2018/01/06 10:30,163.9
2018/01/06 10:45,215
2018/01/06 11:00,158.9
2018/01/06 11:15,177.2
2018/01/06 11:30,188.5
2018/01/06 11:45,257.6
2018/01/06 12:00,244.2
2018/01/06 12:15,189
2018/01/06 12:30,196.4
2018/01/06 12:45,254.2
2018/01/06 13:00,257.3
2018/01/06 13:15,170.1
2018/01/06 13:30,156.7
2018/01/06 13:45,152.7
2018/01/06 14:00,174.4
2018/01/06 14:15,221.7
2018/01/06 14:30,163.5
2018/01/06 14:45,194.4
2018/01/06 15:00,140.9
2018/01/06 15:15,162.2
2018/01/06 15:30,158.2
2018/01/06 15:45,148.6
2018/01/06 16:00,125.2
2018/01/06 16:15,124.4
2018/01/06 16:30,144.5
2018/01/06 16:45,132.4
2018/01/06 17:00,143.2
2018/01/06 17:15,151.8
2018/01/06 17:30,122.4
2018/01/06 17:45,113.8
2018/01/06 18:00,150
2018/01/06 18:15,130.6
2018/01/06 18:30,147.8
2018/01/06 18:45,115.8
2018/01/06 19:00,103.9
2018/01/06 19:15,114.4
2018/01/06 19:30,103.7
2018/01/06 19:45,109.9
2018/01/06 20:00,100.3
2018/01/06 20:15,119.1
2018/01/06 20:30,92.8
2018/01/06 20:45,93.2
2018/01/06 21:00,80.2
2018/01/06 21:15,94.8
2018/01/06 21:30,96.8
2018/01/06 21:45,91.5
2018/01/06 22:00,71.8
2018/01/06 22:15,68.7
2018/01/06 22:30,73.8
2018/01/06 22:45,76.1
2018/01/06 23:00,66.5
2018/01/06 23:15,78
2018/01/06 23:30,72.7
2018/01/06 23:45,73.8
2018/01/07 00:00,66.3
2018/01/07 00:15,81.2
2018/01/07 00:30,67.5
2018/01/07 00:45,73.9
2018/01/07 01:00,77.5
2018/01/07 01:15,65.9
2018/01/07 01:30,53.5
2018/01/07 01:45,58.1
2018/01/07 02:00,54.3
2018/01/07 02:15,56.8
2018/01/07 02:30,42.2
2018/01/07 02:45,40.1
2018/01/07 03:00,38.9
2018/01/07 03:15,42
2018/01/07 03:30,31.8
2018/01/07 03:45,35.9
2018/01/07 04:00,32.8
2018/01/07 04:15,29.4
2018/01/07 04:30,29.9
2018/01/07 04:45,34
2018/01/07 05:00,37.9
2018/01/07 05:15,30.5
