easting	northing	region
243726	668326	11
238872	660861	11
388352	441294	3
425206	400523	5
356300	536493	3
285904	753573	11
524962	303903	9
247773	59056	10
306289	186361	8
402846	90568	10
536824	180707	2
463893	103849	6
353312	430747	3
421223	436688	5
523997	173947	2
585776	193054	9
472920	173391	6
466892	173238	6
457311	522599	7
401450	260793	4
526352	152623	6
296993	196273	8
369869	444136	3
417503	496875	5
520083	173612	2
392691	415192	3
578184	174110	6
598107	189146	9
551231	190975	2
434932	129843	6
376677	420680	3
442134	392550	5
450767	386569	5
445228	280536	4
509173	189054	2
502670	166122	6
462031	331407	1
265897	659071	11
481662	312510	1
559173	224842	9
379842	400319	3
412606	132980	10
486314	500078	5
493229	404542	5
431603	524113	7
332811	403218	3
453172	438084	5
551962	159042	6
435568	390993	5
435418	386392	5
427684	387078	5
436086	383144	5
440381	385083	5
461499	357975	1
412372	439547	5
347467	308056	4
593202	166626	6
402953	465963	5
501627	352490	1
497146	180044	6
413575	279849	4
361557	133942	10
444370	111854	6
440204	114201	6
584688	186863	9
332345	416933	3
569406	183874	9
538081	253620	9
429765	326458	1
387006	84077	10
556142	265102	9
531945	323280	1
454247	291434	1
624422	295269	9
465678	247578	1
344416	422111	3
438113	564555	7
387690	297481	4
598172	243907	9
418161	181628	10
631582	160247	6
497986	223244	9
500548	202957	9
575229	298405	9
492219	140106	6
390434	138703	10
507186	170437	6
401237	355199	4
391849	318607	4
398118	397723	3
524810	221046	9
254904	708190	11
389123	391326	3
444099	522351	7
442891	513280	7
389455	347007	4
386518	352070	4
389986	342464	4
385615	331943	4
391577	284444	4
419913	252151	4
530116	172852	2
376853	394490	3
379495	205235	10
514654	205012	9
195630	56721	10
352960	398174	3
350535	391672	3
637664	260475	9
439604	556499	7
491821	159701	6
524521	164674	2
412779	295539	4
267646	196857	8
262957	192746	8
417453	305723	4
373922	378252	3
319172	123884	10
369582	307859	4
395651	227367	10
405614	211675	10
369808	313639	4
469754	478834	5
370117	184212	10
559896	179609	9
311044	107753	10
557593	150636	6
527616	172307	2
292108	61730	10
327191	201209	8
277271	53664	10
533189	189671	2
567589	138509	6
514965	171290	2
432909	571529	7
508315	184257	2
305826	373191	8
301816	172735	8
530587	177125	2
429787	417242	5
328931	392434	3
398523	300657	4
401917	297045	4
536672	189240	2
423257	586402	7
440591	190807	6
400455	287824	4
362860	391781	3
361672	386040	3
428281	263021	4
432553	557013	7
510595	197247	9
643050	288765	9
552073	126354	6
355909	376843	3
491113	266883	1
347513	148529	10
523999	210333	9
444003	398830	5
526363	182222	2
348446	490152	3
401553	292945	4
397390	292121	4
358794	99248	10
243053	679710	11
539298	183754	2
342759	408740	3
577047	269729	9
380204	250911	4
357556	407661	3
523923	170451	2
449473	132252	6
493899	172249	6
331236	381802	3
322338	387955	3
587479	216119	9
434141	215531	6
469888	167469	6
497340	156533	6
392813	301463	4
393860	296070	4
389654	299114	4
385455	255489	4
317245	543651	3
373231	398259	3
509947	103749	6
336591	353383	8
481535	190468	6
348985	440350	3
381091	275467	4
381826	388445	3
343003	113628	10
459662	451562	5
461869	452052	5
265546	329590	8
258278	263861	8
242041	379162	8
340221	186453	8
320279	175393	8
338671	160920	10
246011	98297	10
215142	84264	10
464676	99877	6
450362	86431	6
619364	333273	9
404569	615587	7
226413	62587	10
259507	55571	10
248135	56039	10
623812	311388	9
157070	28352	10
168823	37387	10
268028	880800	11
206394	822272	11
324213	843471	11
336474	1012566	11
125627	925130	11
200110	692180	11
347898	794781	11
384040	851032	11
339834	712927	11
370026	828435	11
320182	691118	11
389450	803615	11
316327	674709	11
355191	672145	11
227364	653249	11
254458	568396	11
218762	214418	8
236056	600808	11
237769	631682	11
200649	227200	8
182912	46094	10
151817	528986	12
145729	534605	12
146011	525069	12
140951	528804	12
146892	563895	12
88647	578759	12
44667	511359	12
61902	579315	12
135048	514598	12
97335	544542	12
102420	494176	12
124579	576490	12
163125	533533	12
129308	540910	12
140608	490722	12
162464	516791	12
116322	514994	12
55929	543072	12
