id,year,title,artist,theme,spotifyUrl
85,1961,Tribute to Buddy Holly,Mike Berry and the Outlaws,People and places,
86,1961,Crazy,Patsy Cline,Heartbreak,http://open.spotify.com/track/32EaJ4sUH4GrGfXulPltIi
87,1961,Crying,Roy Orbison,Heartbreak,http://open.spotify.com/track/3oVeLS6WNWf7tAGev4Y6vM
88,1961,Cupid,Sam Cooke,Love,http://open.spotify.com/track/37ublgs2E1IIASg1it0v3t
89,1961,Ebony Eyes,The Everly Brothers,Life and death,http://open.spotify.com/track/4eZfC3Dda1SNsNAgMxoKXN
90,1961,Will You Love Me Tomorrow?,The Shirelles,Love,http://open.spotify.com/track/5SqfqdRQBq3JttB5Nh08H2
91,1962,I Hear Voices,Screamin’ Jay Hawkins,Life and death,http://open.spotify.com/track/5kM2F1fbpN9wPhYhVOPDTv
92,1962,You’ve Really Got a Hold On Me,Smokey Robinson and the Miracles,Love,http://open.spotify.com/track/7oLlI6vGHjjFfLkq0fq89A
93,1962,Brown Skin Woman,Snooks Eaglin,Heartbreak,http://open.spotify.com/track/2wiwvZFyUOsqGZYlh0tffe
94,1962,Do You Love Me?,The Contours,Love,http://open.spotify.com/track/1nalk6Yqn0vRg8iiYlfeYd
95,1962,He Hit Me (And it Felt Like a Kiss),The Crystals,Heartbreak,
96,1962,Wipe Out,The Surfaris,Party songs,http://open.spotify.com/track/6uudeEvl6t5WrFgobojt3D
97,1962,I Left My Heart in San Francisco,Tony Bennett,People and places,http://open.spotify.com/track/6T4wzk2iyRcdmEQUcqk1s8
98,1963,"Don’t Think Twice, It’s All Right",Bob Dylan,Heartbreak,http://open.spotify.com/track/0K9nDgwZnLpg8FFG732fcU
99,1963,Girl from the North Country ,Bob Dylan,Love,http://open.spotify.com/track/4OfkpX0bONH3eSHQilGDnA
100,1963,Masters of War,Bob Dylan,Politics and protest,http://open.spotify.com/track/56inmm09BxbQvjZfSexaSM
101,1963,Walk Like a Man,Frankie Valli and the Four Seasons,Life and death,http://open.spotify.com/track/3ebFVCEIcB3zW9RbnHk28D
102,1963,Just Like Eddie,Heinz,People and places,http://open.spotify.com/track/3anKfvDNqW7dYBDEbmKzIn
103,1963,Alabama,John Coltrane,Politics and protest,http://open.spotify.com/track/3uY3z9cO4sR256VTPpe4Kk
104,1963,It’s My Party,Lesley Gore,Heartbreak,http://open.spotify.com/track/4sR3U7qQAai4CI0q4zHlRW
105,1963,(Love Is Like a) Heat Wave,Martha and the Vandellas,Sex,http://open.spotify.com/track/1qCbiWAHRybIDOfdkzOK7e
106,1963,We Shall Overcome,Pete Seeger,Politics and protest,http://open.spotify.com/track/4LLjj2lFgaSWsHw7uWDqDj
107,1963,Blue Bayou,Roy Orbison,People and places,http://open.spotify.com/track/5GdSlf0Of1E67soyYauE1i
108,1963,In My Room,The Beach Boys,Life and death,http://open.spotify.com/track/0sL9QSjcOMNdU829l7pNb0
109,1963,I Want to Hold Your Hand,The Beatles,Love,
110,1963,She Loves You,The Beatles,Love,
111,1963,Then He Kissed Me,The Crystals,Love,http://open.spotify.com/track/6OoJfmP08PBCLic4JBztsJ
112,1963,On Broadway,The Drifters,People and places,http://open.spotify.com/track/1rDBmONfSiBaJJGqDH2OH5
113,1963,Louie Louie,The Kingsmen,Party songs,http://open.spotify.com/track/3VctpyG5B5Y6dbTep9NmOP
114,1963,Be My Baby,The Ronettes,Love,http://open.spotify.com/track/0eXzLs2mOlkZXeftGN0SNH
115,1964,The Lonesome Death of Hattie Carroll,Bob Dylan,Life and death,
116,1964,The Times They Are a-Changin’,Bob Dylan,Politics and protest,http://open.spotify.com/track/2zlP1bRIxUiEjApkELiGYd
117,1964,When the Ship Comes In,Bob Dylan,Politics and protest,http://open.spotify.com/track/0ILmjZkTZsPKjsZaEPmatw
118,1964,Now That The Buffalo's Gone,Buffy Sainte-Marie,Politics and protest,http://open.spotify.com/track/6yacBc7zjbSG2ebrwtLhtJ
119,1964,No Particular Place to Go,Chuck Berry,People and places,http://open.spotify.com/track/0ibuBDbT4tKNA1ugKK92AI
120,1964,Walk on By,Dionne Warwick,Heartbreak,http://open.spotify.com/track/6xS9VDmREYFio4BNGFImjc
121,1964,I Just Don’t Know What to Do With Myself,Dusty Springfield,Heartbreak,http://open.spotify.com/track/4qrEIcw64kbDgSK5QRkkAC
122,1964,Tainted Love,Gloria Jones,Heartbreak,
123,1964,I’m Into Something Good,Herman’s Hermits,Love,http://open.spotify.com/track/5tYLgBIbx3YVde84rRPNE9
124,1964,The Sun Is Burning,Ian Campbell Folk Group,Politics and protest,
125,1964,Wish Someone Would Care,Irma Thomas,Life and death,http://open.spotify.com/track/4gyA9RzfJvZRw7YDDPJRZO
126,1964,Somewhere,PJ Proby,People and places,http://open.spotify.com/track/5lz5nAO1HA7nntRU5k0IzH
127,1964,"Oh, Pretty Woman",Roy Orbison,Love,http://open.spotify.com/track/2DGXmZPZ07HnWkFj3AayR0
128,1964,A Change Is Gonna Come,Sam Cooke,Politics and protest,http://open.spotify.com/track/7aXPwuC5qjhT0ddjHqe64o
129,1964,Everybody Needs Somebody to Love,Solomon Burke,Love,http://open.spotify.com/track/66GhKP6S6KqYMHR7xtGPoX
130,1964,"Fun, Fun, Fun",The Beach Boys,People and places,http://open.spotify.com/track/0kRivH04RZLdKhD5wX1h1D
131,1964,Eight Days a Week,The Beatles,Love,
132,1964,I’m So Proud,The Impressions,Love,http://open.spotify.com/track/6mLycrS3LfCUERnOWm8luW
133,1964,You Really Got Me,The Kinks,Love,http://open.spotify.com/track/0yjEOL4g41q4rAqoguFF0s
134,1964,You’ve Lost That Lovin’ Feelin’,The Righteous Brothers,Heartbreak,http://open.spotify.com/track/4Y7jrcaXsSFyf5g4YLcAaB
135,1964,(The Best Part of) Breakin’ Up,The Ronettes,Heartbreak,
136,1964,Leader of the Pack,The Shangri-Las,Love,http://open.spotify.com/track/7rwBWEQ6APQBQ5sFDOytDb
137,1964,Baby Love,The Supremes,Love,http://open.spotify.com/track/5uM9zdUz8PpYJME9wZCM4W
138,1964,Where Did Our Love Go?,The Supremes,Heartbreak,http://open.spotify.com/track/6yz8hKpO3s2byra8Et3w9x
139,1964,My Girl,The Temptations,Love,http://open.spotify.com/track/0651FOAfvX33QIjpYL4F95
140,1964,Gloria,Them,Love,http://open.spotify.com/track/4VS4B6BjBK6liTPCf8O4aJ
141,1964,Terry,Twinkle,Love,
142,1965,Eve of Destruction,Barry McGuire,Politics and protest,http://open.spotify.com/track/56PQfk2z3WaHJFTaz17kBo
143,1965,Let Me Down Easy,Bettye LaVette,Heartbreak,http://open.spotify.com/track/0MvsfFXD0XkeOcPUOO5XaH
144,1965,Ballad of a Thin Man,Bob Dylan,People and places,http://open.spotify.com/track/3Xbr9UqRIgo5I9Wna9sofg
145,1965,Like a Rolling Stone,Bob Dylan,People and places,http://open.spotify.com/track/4hR2PmKODnlFa5fe8iWzeo
146,1965,Maggie’s Farm,Bob Dylan,Politics and protest,http://open.spotify.com/track/594Kh8VcfpZgFqeWrtlNnP
147,1965,I Fought the Law,Bobby Fuller Four,Politics and protest,http://open.spotify.com/track/6Um3XCAxl9YfFmAnGl93xc
148,1965,"Land of 1,000 Dances",Cannibal and the Headhunters,Party songs,http://open.spotify.com/track/0WRQZg69vaeU0fB2EHGAEw
149,1965,Sunny Goodge Street,Donovan,People and places,http://open.spotify.com/track/0W0WuexnXG8xdSnTIHKnrQ
150,1965,It Was a Very Good Year,Frank Sinatra,Life and death,http://open.spotify.com/track/5lDcHK1FUDAQnMrvMGsGvA
151,1965,Scarborough Fair,Martin Carthy,People and places,
152,1965,Jenny Take a Ride ,Mitch Ryder and the Detroit Wheels,People and places,http://open.spotify.com/track/5mgDZhN7E1nau6ZH2ENmUH
153,1965,Jaan Pehechaan Ho,Mohammed Rafi,Heartbreak,http://open.spotify.com/track/6o1fs0vkkFGT8lSkMAXe1o
154,1965,Bert Jansch,Needle of Death,Life and death,http://open.spotify.com/track/2Er04cz8zf7sjBd2e3v54g
155,1965,Feeling Good,Nina Simone,Life and death,http://open.spotify.com/track/0XaVWd4MhlnxT6uUpFV501
156,1965,I Want My Cock,Owen and Leon,Sex,
157,1965,I Ain’t Marching Anymore,Phil Ochs,Politics and protest,http://open.spotify.com/track/1IA8LarhcLMkwsI7wP0QQl
158,1965,Give Him a Great Big Kiss,Shangri-Las,Sex,http://open.spotify.com/track/5eByLONVak5rrPBnS29nWn
159,1965,The Clapping Song,Shirley Ellis,Party songs,
160,1965,I Got You Babe,Sonny and Cher,Love,http://open.spotify.com/track/4TbuzNasQqnKJc3bJdZ0wZ
161,1965,We Gotta Get Out of This Place,The Animals,People and places,http://open.spotify.com/track/385Z5UTDZvJMvhOAiURcHY
162,1965,Another Girl,The Beatles,Sex,
163,1965,Drive My Car,The Beatles,People and places,
164,1965,Girl,The Beatles,Love,
165,1965,Norwegian Wood (This  Bird Has Flown),The Beatles,Sex,
166,1965,Yesterday,The Beatles,Life and death,
167,1965,You’ve Got to Hide Your Love Away,The Beatles,Heartbreak,
168,1965,People Get Ready,The Impressions,Politics and protest,http://open.spotify.com/track/1MlXd4giftxXZgeMItb3PQ
169,1965,California Dreamin’,The Mamas and the Papas,People and places,http://open.spotify.com/track/1pxO7IS622Q8DQJ7uK7JRt
170,1965,Unchained Melody,The Righteous Brothers,Love,http://open.spotify.com/track/2ACjOtICHXrAlP3ijVMSvb
171,1965,Make it Easy on Yourself,The Walker Brothers,Heartbreak,http://open.spotify.com/track/5RT0MynLRywe8D3UHJ4UNG
172,1965,My Generation,The Who,Politics and protest,http://open.spotify.com/track/4kxrawSkeAoJiASQArwqYO
174,1965,Here Comes the Night,Them/Van Morrison,Love,http://open.spotify.com/track/7knFQrGf88XnKjgyGrB70p
175,1966,So Nice (Summer Samba),Astrud Gilberto,Life and death,http://open.spotify.com/track/155rAbTUh7q24pynaJsQLu
176,1966,I’ve Got to Go Back Home,Bob Andy,People and places,
177,1966,I Want You,Bob Dylan,Sex,http://open.spotify.com/track/6hMr51jPiGsyI16VfO8wmO
178,1966,Just Like a Woman,Bob Dylan,Heartbreak,http://open.spotify.com/track/6M5KL0LxCvXGr3j2mN4wE1
179,1966,She’s Your Lover Now,Bob Dylan,Heartbreak,http://open.spotify.com/track/0TUtCqkeaNlR71xerbm6Xo
180,1966,Visions of Johanna,Bob Dylan,Love,http://open.spotify.com/track/0D0fyyNszdh2FZeUoiHJx1
181,1966,Elusive Butterfly,Bob Lind,Love,http://open.spotify.com/track/226EXK5tPVsqaZ2y9RACR0
182,1966,Sit Down I Think I Love You,Buffalo Springfield,Love,http://open.spotify.com/track/70dh9SQ7pcNLn7QE5dbIiX
183,1966,Sunshine Superman,Donovan,Life and death,http://open.spotify.com/track/6HPxuDcDYHPAfyxIm796Cd
184,1966,You Don’t Have to Say You Love Me,Dusty Springfield,Heartbreak,http://open.spotify.com/track/2djMjbwwD6aeN029drEul0
185,1966,Fly Me to the Moon,Frank Sinatra,Love,http://open.spotify.com/track/09ityNOMUHKZ1sldYGWRCk
186,1966,Get Me to the Church On Time,Frank Sinatra,Love,
187,1966,Do I Love You (Indeed I Do),Frank Wilson,Love,http://open.spotify.com/track/6QtbZ4rI3fJRufeNyi19Nd
188,1966,"River Deep, Mountain High",Ike and Tina Turner,Love,http://open.spotify.com/track/4psjgB5e5HIuUeSVbEUY64
189,1966,What Becomes of the Broken Hearted,Jimmy Ruffin,Heartbreak,http://open.spotify.com/track/019nGMMof2yYp0zIdnbxSV
190,1966,Working in a Coal Mine,Lee Dorsey,Life and death,http://open.spotify.com/track/5GR1Jj5ahZtoR6WqyM5LP4
191,1966,You Ain’t Woman Enough,Loretta Lynn,Sex,http://open.spotify.com/track/0HIDHxooesFQ1zAZ3Vahgm
192,1966,"Hold On, I’m Comin’",Sam and Dave,Sex,http://open.spotify.com/track/6PgVDY8GTkxF3GmhVGPzoB
193,1966,Homeward Bound,Simon and Garfunkel,People and places,http://open.spotify.com/track/0MhdnZTAPZmdEWa3alX8eM
194,1966,God Only Knows,The Beach Boys,Love,http://open.spotify.com/track/0ObrXLrfrqJUNc8RfmIBHP
195,1966,Good Vibrations,The Beach Boys,Love,http://open.spotify.com/track/2oF7FZHIJbzjeEXZ3D0Ku4
196,1966,Wouldn’t It Be Nice,The Beach Boys,Love,http://open.spotify.com/track/0cx32rX0uZvcJUP92Wkj2y
197,1966,Doctor Robert,The Beatles,People and places,
198,1966,Eleanor Rigby,The Beatles,People and places,
199,1966,Eight Miles High,The Byrds,People and places,http://open.spotify.com/track/3M2vp32P9xXHsVRcva9G5c
200,1966,Hey Joe,The Jimi Hendrix Experience,Life and death,http://open.spotify.com/track/4wCeZzV2w2s7QwNRZQRDhU
201,1966,Dead End Street,The Kinks,People and places,http://open.spotify.com/track/2qYhnsUIiu31svhUA5yGZD
202,1966,Trouble Every Day,The Mothers of Invention,Politics and protest,
203,1966,Paint it Black,The Rolling Stones,Life and death,http://open.spotify.com/track/29njOUf53Vc91WEeya44vO
204,1966,Stupid Girl,The Rolling Stones,Heartbreak,http://open.spotify.com/track/1jlF5p7TTVhT1pvk1jdxZz
205,1966,Under My Thumb,The Rolling Stones,Heartbreak,http://open.spotify.com/track/4H5hI3u6LmIRlXnWR89opX
206,1966,All Or Nothing,The Small Faces,Heartbreak,http://open.spotify.com/track/3NkE5aI8aPPnoG8w2xBwNF
207,1966,You Can’t Hurry Love,The Supremes,Love,http://open.spotify.com/track/046ZhBbIMSnG3UXHXJD1cy
208,1966,You Keep Me Hangin’ On,The Supremes,Heartbreak,http://open.spotify.com/track/6tLPgXlqugmn2XfNnmGoVp
209,1966,Wild Thing,The Troggs,Sex,http://open.spotify.com/track/12PKavTaqOLlyC7tRWO4dw
210,1966,Substitute,The Who,Heartbreak,http://open.spotify.com/track/6AtYt0gDIi6I38fOfkV31y
211,1966,Mustang Sally,Wilson Pickett,People and places,http://open.spotify.com/track/2AbmCE9mLpaVMyQeyvlgHN
212,1967,Music to Watch Girls By,Andy Williams,Love,http://open.spotify.com/track/5khJtAAIdaXwr3ZsQvvVv4
213,1967,I Never Loved a Man (The Way I Love You),Aretha Franklin,Love,http://open.spotify.com/track/0FE39WU0AcIcXdkMK0fxkr
214,1967,Respect,Aretha Franklin,Politics and protest,http://open.spotify.com/track/3OYh9wHWqWD6bpmO3WQNlM
215,1967,Sweet Soul Music,Arthur Conley,Party songs,http://open.spotify.com/track/0pvA063uNyGQFp7DNtmk0P
216,1967,The “Fish” Cheer/I-Feel-Like-I’m-Fixin’-to-Die Rag,Country Joe and the Fish,Politics and protest,
217,1967,007 (Shanty Town),Desmond Dekker,People and places,http://open.spotify.com/track/7hwvbkchjTc5JXEZ4xmQX7
218,1967,Bedazzled,Dudley Moore and Peter Cook,Party songs,
219,1967,(Your Love Keeps Lifting Me) Higher and Higher,Jackie Wilson,Party songs,
220,1967,The Dark End of the Street,James Carr,Love,
221,1967,"So Long, Marianne",Leonard Cohen,Heartbreak,http://open.spotify.com/track/75uA4upcHXXxVfaY9eYdSK
222,1967,Alone Again Or,Love,Life and death,http://open.spotify.com/track/6hXHOrhKW9dgQt35Mc5dCb
223,1967,Love Loves to Love Love,Lulu,Party songs,http://open.spotify.com/track/185Uc0jhEnHBZW1KYN9YCk
224,1967,I Heard it Through the Grapevine,Marvin Gaye,Heartbreak,http://open.spotify.com/track/27m1soUndRthrAA1ediOXn
225,1967,Ain’t No Mountain High Enough,Marvin Gaye And Tammi Terrell,Love,http://open.spotify.com/track/77g8V7P1MkfiPXe8Rkxm7y
226,1967,Jackson,Nancy Sinatra and Lee Hazlewood,People and places,http://open.spotify.com/track/56LjYK1rKum8m1L7aIdfm4
227,1967,Some Velvet Morning,Nancy Sinatra and Lee Hazlewood,Sex,http://open.spotify.com/track/2X89x2pEAeDgSIK3ag1jHU
228,1967,My Death,Scott Walker,Life and death,http://open.spotify.com/track/4mL9NVLLrBJz1kmrM2M5qd
229,1967,The Banks of the Sweet Primroses,Shirley Collins,People and places,
230,1967,I Am the Walrus,The Beatles,Politics and protest,
231,1967,Penny Lane,The Beatles,People and places,
232,1967,She’s Leaving Home,The Beatles,People and places,
233,1967,Strawberry Fields Forever,The Beatles,People and places,
234,1967,With a Little Help from My Friends,The Beatles,Love,
235,1967,Waterloo Sunset,The Kinks,People and places,http://open.spotify.com/track/2nlvl52hnkBMoWPmWChXM8
236,1967,Darling Be Home Soon,The Lovin’ Spoonful,Sex,http://open.spotify.com/track/0WyaWFJqhVdHxK2pY9Xg8U
237,1967,Let’s Spend the Night Together,The Rolling Stones,Sex,http://open.spotify.com/track/2Zko8gc25EbLJ7GCWAaB6E
238,1967,Ruby Tuesday,The Rolling Stones,People and places,http://open.spotify.com/track/5dv34fSvGLhCaPNjiytAva
239,1967,I’m a Man,The Spencer Davis Group,Party songs,http://open.spotify.com/track/7vRhkN9rpM0FtDhBdZypn4
240,1967,Venus in Furs,The Velvet Underground,Sex,http://open.spotify.com/track/3BS0Y8iDtIK5SDvXpxUN17
241,1967,Femme Fatale,The Velvet Underground and Nico,Heartbreak,http://open.spotify.com/track/63uM3G418omzGOIT9ltPmt
242,1967,Pictures of Lily,The Who,Sex,http://open.spotify.com/track/7mUd2EEqieY6tcAdEzzuWs
243,1967,Tribute to Hank Williams,Tim Hardin,People and places,http://open.spotify.com/track/7EIObUsjH82rWe34Alrou9
244,1967,I’m in Love,Wilson Pickett,Love,http://open.spotify.com/track/4QDK12L3s53JECMOhx3mdh
245,1968,Tighten Up,Archie Bell and the Drells,Party songs,http://open.spotify.com/track/0qKCm8yeHoRJTpryDDQ9TT
246,1968,I Say A Little Prayer,Aretha Franklin,Love,http://open.spotify.com/track/6bBwFPgVdWxuc4uWEyALCa
247,1968,(My Heart Is) Closed for the Season ,Bettye Swann,Heartbreak,http://open.spotify.com/track/6AS7rbXQIE2cSCtNXg3RPm
248,1968,Love Me Forever,Carlton and the Shoes,Love,
249,1968,Love Child,Diana Ross and the Supremes,Sex,http://open.spotify.com/track/2OukOzuIXcJFz9apg4gSuM
250,1968,Do You Know the Way to San José,Dionne Warwick,People and places,http://open.spotify.com/track/3lVRhqxAiipuI4kPz4TF5W
251,1968,Say It Loud – I’m Black and I’m Proud,James Brown,Politics and protest,http://open.spotify.com/track/6SP5GXlyb0yiCCMODUjeFb
252,1968,Nights in New York City,Jan Bradley,People and places,
253,1968,Piece of My Heart,Janis Joplin and Big Brother and the Holding Company,Heartbreak,http://open.spotify.com/track/3zfJeCCx1uDHzPNReiGqS6
254,1968,Harper Valley PTA,Jeannie C Riley ,People and places,http://open.spotify.com/track/0nAHjZ9TJ6h4Hpy8lxlP6u
255,1968,Wichita Linesman,Jimmy Webb,Love,http://open.spotify.com/track/4LKUWvk6kQDJSTkxP6TUYN
256,1968,Cocaine Blues,Johnny Cash,Party songs,http://open.spotify.com/track/6ogJG0epBYDCMb37n8z637
257,1968,Private Number,Judy Clay and William Bell,Love,http://open.spotify.com/track/5AdCyD1APnK7Drt81MDciC
258,1968,What a Wonderful World,Louis Armstrong,Life and death,http://open.spotify.com/track/2ZeRwblv2s82MQKvLoEzeV
259,1968,You’re All I Need to Get By,Marvin Gaye And Tammi Terrell,Love,http://open.spotify.com/track/6L7r59rN9s4mBSxZDiElTp
260,1968,Wet Dream,Max Romeo,Sex,http://open.spotify.com/track/2vV6qYsr3GAtejs2hE1dV3
261,1968,Kick Out the Jams,MC5,Politics and protest,http://open.spotify.com/track/3MVHpVZrmLyxvWFeN9fooF
262,1968,Angel of the Morning,Merrilee and the Turnabouts,Love,
263,1968,(Sittin’ On) The Dock of the Bay,Otis Redding,Life and death,http://open.spotify.com/track/0y8h1AJzI4y7UxzX5xdVpo
264,1968,Bruton Town,Pentangle,People and places,http://open.spotify.com/track/2pqiemaVZ6QjRYH5cPCfax
265,1968,Mrs Robinson,Simon and Garfunkel,People and places,http://open.spotify.com/track/6J1sj9dcEM91H80NIz1Gpo
266,1968,Dance to the Music,Sly and the Family Stone,Party songs,http://open.spotify.com/track/6W9t1lhkATr4XrnXXgL2CV
267,1968,Rene,Small Faces,Sex,
268,1968,Born to Be Wild,Steppenwolf,People and places,http://open.spotify.com/track/78OcvMkLFsRp5AJsRexfPX
269,1968,D-I-V-O-R-C-E,Tammy Wynette,Heartbreak,
270,1968,Revolution,The Beatles,Politics and protest,
271,1968,Yer Blues,The Beatles,Life and death,
272,1968,Goin’ Back,The Byrds,Life and death,http://open.spotify.com/track/27sI9GC4xswPEHxBDZU7lZ
273,1968,Triad,The Byrds,Sex,http://open.spotify.com/track/3Vcbq1XGXbvwXT9wC4XJjj
275,1968,The Village Green Preservation Society,The Kinks,Politics and protest,
276,1968,Street Fighting Man,The Rolling Stones,Politics and protest,http://open.spotify.com/track/7eZ2NUG1G7SKssQqt4uRcy
277,1968,Long Walk to DC,The Staple Singers,Politics and protest,http://open.spotify.com/track/7yDbI673oElwJy891HuBHZ
278,1968,Cloud Nine,The Temptations,Party songs,http://open.spotify.com/track/5yGqsTtt4oDRY1FdVsVqSL
279,1968,Hit the Bongo,Tito Puente,Party songs,
280,1968,Delilah,Tom Jones,Heartbreak,http://open.spotify.com/track/0hK0cOpYF3cLB49VbMa7AV
281,1968,Crimson and Clover,Tommy James and the Shondells,Sex,http://open.spotify.com/track/1vXuYPpkLjn1v06E2EsWQY
282,1968,54-46 (That’s My Number),Toots and the Maytals,People and places,http://open.spotify.com/track/0KVxbnJ6OfDj6P47KogYo7
283,1968,Madame George,Van Morrison,Love,http://open.spotify.com/track/0XGw1JFG1kE6rFi4rtvs7w
284,1969,The Thrill is Gone,BB King,Heartbreak,http://open.spotify.com/track/2l9eWSE3Tupp0ArEDo45eB
285,1969,Melting Point,Blue Mink,Politics and protest,
286,1969,Lay Lady Lay,Bob Dylan,Sex,http://open.spotify.com/track/6wo0JCftDQbbo9nsGKLzk2
287,1969,Fancy,Bobbie Gentry,Sex,http://open.spotify.com/track/6aarvZBVzYo3sp4NYOBqCp
288,1969,"Glory Hallelujah, How They’ll Sing",Bobbie Gentry,Life and death,
289,1969,Tent,Bonzo Dog Doo-Dah Band,Sex,http://open.spotify.com/track/1Iv81TnJcanYzk4uyewcNi
290,1969,Letter to Hermione,David Bowie,Heartbreak,http://open.spotify.com/track/13YcDQxaOktczzQBliAISJ
291,1969,Space Oddity,David Bowie,People and places,http://open.spotify.com/track/7IBfmCrfaR3SLVemWhsucQ
292,1969,In the Ghetto,Elvis Presley,Politics and protest,http://open.spotify.com/track/7na7MmpePvl0nErQIQteBG
293,1969,Suspicious Minds,Elvis Presley,Heartbreak,http://open.spotify.com/track/21uqk0VElbm5bxCNTR3E6M
294,1969,I’d Rather Go Blind,Etta James,Heartbreak,http://open.spotify.com/track/2xxX1FmYQk7P0I5stRyNsT
295,1969,Galveston,Glen Campbell,People and places,http://open.spotify.com/track/7GCNh1ibQiae8aimaEUOFq
296,1969,Je T’Aime ... Moi Non Plus,Jane Birkin and Serge Gainsbourg,Sex,
297,1969,The Star-Spangled Banner,Jimi Hendrix,Politics and protest,http://open.spotify.com/track/5l3d4azo71WotmWhRc1zqM
298,1969,Many Rivers to Cross,Jimmy Cliff,People and places,http://open.spotify.com/track/1dr5J5vp2lomzdDPcv4CvG
299,1969,Give Peace a Chance,John Lennon,Politics and protest,
300,1969,Whole Lotta Love,Led Zeppelin,Sex,
301,1969,Okie from Muskogee,Merle Haggard,Politics and protest,http://open.spotify.com/track/1BlR9w48cl5fBtebabidTM
302,1969,Workin’ Man’s Blues,Merle Haggard,Life and death,http://open.spotify.com/track/5TJ2aQyvZIexiWunUdKxka
303,1969,I Guess the Lord Must Be in New York City,Nilsson,People and places,http://open.spotify.com/track/6gu59Q2p1Zkx2jkMdJYO1X
304,1969,Spirit in the Sky,Norman Greenbaum,Life and death,
305,1969,True Love Travels on a Gravel Road,Percy Sledge,Love,http://open.spotify.com/track/38r31rrb3wYnNPa3TCn4Mn
306,1969,The Old Man’s Back Again (Dedicated to the Neo-Stalinist Regime),Scott Walker,Politics and protest,http://open.spotify.com/track/23LS90srRC3n86OWgUBUQx
307,1969,"Don’t Call Me Nigger, Whitey",Sly and the Family Stone,Politics and protest,http://open.spotify.com/track/2go5vzzDZP7KBrjQXK4KLr
308,1969,Wreck a Buddy,Soul Sisters,Sex,http://open.spotify.com/track/5y8N3Wr5bLv40PdFK3oC54
309,1969,Monster,Steppenwolf,Politics and protest,http://open.spotify.com/track/5gN9AKEIJgccrIBBMCKs68
310,1969,Something,The Beatles,Love,
311,1969,Sin City,The Flying Burrito Brothers,People and places,http://open.spotify.com/track/79eJ1pa0yAAFlloGPizz8W
312,1969,Honky Tonk Women,The Rolling Stones,Sex,http://open.spotify.com/track/0KoKNKBkQaAulzTJ5WLV6I
313,1969,I Wanna Be Your Dog,The Stooges,Sex,http://open.spotify.com/track/6clhKRH03Y0FWMTW3R1pHq
314,1969,Jesus,The Velvet Underground,Life and death,http://open.spotify.com/track/030AxdYEncwjWPZGEL2fDa
315,1970,Without You,Badfinger,Heartbreak,http://open.spotify.com/track/5GFV9C9D7EztSc0bMzF9ss
316,1970,Paranoid,Black Sabbath,Life and death,http://open.spotify.com/track/7eWOuDHQOa6lNLLtQSMIdN
317,1970,Ohio,"Crosby, Stills, Nash and Young",Politics and protest,http://open.spotify.com/track/0eFqH9smOTiNNecXMpFIi2
318,1970,Move On Up,Curtis Mayfield,Party songs,http://open.spotify.com/track/6evohxlACvIJ6vAs1083NQ
319,1970,Layla,Derek and the Dominos,Heartbreak,http://open.spotify.com/track/1KDsONFxp3YtnJTaLeWFIi
320,1970,Beware of Young Girls,Dory Previn,Heartbreak,http://open.spotify.com/track/6G73YaSHMs0tP2gCNvSnjE
321,1970,War,Edwin Starr,Politics and protest,http://open.spotify.com/track/0cs3dkKsYJwdauvRRJaCOm
322,1970,All Things Must Pass,George Harrison,Life and death,
323,1970,Whitey On the Moon,Gil Scott-Heron,Politics and protest,http://open.spotify.com/track/0Ko176OJTtK3ubUtzdXINI
324,1970,Get Up (I Feel Like Being a) Sex Machine,James Brown,Sex,http://open.spotify.com/track/5uCdgBAqYPWQ2HGpJVGAeD
325,1970,God,John Lennon,Life and death,
326,1970,Suicide Is Painless (Theme from M*A*S*H),Johnny Mandel,Politics and protest,
327,1970,Big Yellow Taxi,Joni Mitchell,Politics and protest,http://open.spotify.com/track/3DYrWKfm5gYCqXyH608Lmd
328,1970,Help Me Make It Through the Night,Kris Kristofferson,Sex,http://open.spotify.com/track/2Os4SR7qNgb6vKa6cXQSUZ
329,1970,Gallows Pole,Led Zeppelin,Life and death,
330,1970,Only Love Can Break Your Heart,Neil Young,Love,http://open.spotify.com/track/3nQBejgpXbSdWpJsXKYWye
331,1970,Southern Man,Neil Young,Politics and protest,http://open.spotify.com/track/1JqNtFOi0K8xUpfeNHMPJz
332,1970,"To Be Young, Gifted and Black",Nina Simone,Politics and protest,http://open.spotify.com/track/3btkTbTgRXJjVSwSC3RHZe
333,1970,Bridge Over Troubled Water,Simon and Garfunkel,Love,http://open.spotify.com/track/1eAVDtuGhk1lVVjMbmFvsi
334,1970,Check Out Your Mind,The Impressions,Politics and protest,http://open.spotify.com/track/112ofK4eq7gS0gRqNNxQMM
335,1970,I Want You Back,The Jackson 5,Heartbreak,http://open.spotify.com/track/2nPXRL8SX00vl9zeQHMSQp
336,1970,Lola,The Kinks,Heartbreak,http://open.spotify.com/track/191w1gNvwUI55Pk6PcVvMx
337,1970,Stoned Love,The Supremes,Love,
338,1971,Satta Massagana,Abyssinians,Life and death,http://open.spotify.com/track/27adNyPtau6RYDGsUbXEo4
339,1971,Let’s Stay Together,Al Green,Love,http://open.spotify.com/track/1r5ix6rRcET3TUdnDSZ9Oo
340,1971,Tired of Being Alone,Al Green,Life and death,
