id,year,title,artist,theme,spotifyUrl
898,2002,Losing My Edge,LCD Soundsystem,Life and death,http://open.spotify.com/track/57QpgJA1yNN5DyhYaN4x4p
899,2002,Ramblin’ Man ,Lemon Jelly,People and places,http://open.spotify.com/track/6gZy5D9PMscYWMM1VdvZZx
900,2002,Work It,Missy Elliott,Sex,http://open.spotify.com/track/5p3WoFtEm7HrRp8lKxKICu
901,2002,Khia,"My Neck, My Back (Lick It)",Sex,http://open.spotify.com/track/0XPLAWXQ03Tlk94CltCj9S
902,2002,Hot in Herre,Nelly,Party songs,http://open.spotify.com/track/652F9V2xyoY43Pj8urZ4zM
903,2002,Witness the Pitness,Pitman,Party songs,
904,2002,John Walker’s Blues,Steve Earle,Politics and protest,
905,2002,The Proud,Talib Kweli,Politics and protest,http://open.spotify.com/track/5TrG4AXuPoVnw7QQnira5J
906,2002,House of Jealous Lovers,The Rapture,Party songs,http://open.spotify.com/track/7lsMHdLHRRkGElzVPn91ZW
907,2002,Oops (Oh My),Tweet,Sex,
908,2003,Me and Giuliani Down By the Schoolyard (A True Story),!!!,Politics and protest,
909,2003,You Don’t Know My Name,Alicia Keys,Heartbreak,http://open.spotify.com/track/212BdBPNXcHSPyKtXMiiFF
910,2003,Stronger Than Me,Amy Winehouse,Heartbreak,http://open.spotify.com/track/5Q8nk53ZSOoCCoMHcyUj8X
911,2003,Crazy in Love,Beyoncé,Love,http://open.spotify.com/track/5IVuqXILoxVWvWEPm82Jxr
912,2003,Never Get Old,David Bowie,Life and death,
913,2003,I’m in the Mood Again,Elvis Costello,Love,http://open.spotify.com/track/5HWC5PWLas7xQsjQPoeDpo
914,2003,Warren Zevon,Keep Me in Your Heart,Life and death,
915,2003,Milkshake,Kelis,Sex,http://open.spotify.com/track/2cMTIlktg3M9mXYqCPqw1J
916,2003,Happy,Max Sedgley,Party songs,http://open.spotify.com/track/4hIwQWVYQ3SMSjkVXrMJKv
917,2003,Hey Ya!,OutKast,Party songs,http://open.spotify.com/track/4QhYssD3qdSGd5yqW0h7cI
918,2003,Ignition (Remix),R Kelly,Sex,http://open.spotify.com/track/7uN7snLDoM1WTmMcTxNreb
919,2003,The Man That I Am With My Man,The Hidden Cameras,Sex,http://open.spotify.com/track/4O1lOLB77K8jOilQOYnULt
920,2003,Mr Brightside,The Killers,Heartbreak,http://open.spotify.com/track/4ZefAE6wZ6BEATniPk4DWI
921,2003,No Children,The Mountain Goats,Heartbreak,http://open.spotify.com/track/6KyyTheVmJZsNdqwOj0MR3
922,2004,Either Side of the Same Town,Elvis Costello ,Heartbreak,http://open.spotify.com/track/1TDyLMqyVcFnN4Gwb2Lk25
923,2004,American Idiot,Green Day,Politics and protest,http://open.spotify.com/track/6nTiIhLmQ3FWhvrGafw2zj
924,2004,Since U Been Gone,Kelly Clarkson,Heartbreak,http://open.spotify.com/track/07r3phrnaEUfoaauHHQXj6
925,2004,Pow! (Forward),Lethal Bizzle,Party songs,http://open.spotify.com/track/37uFAVNwaRF7XUdByyJyNN
926,2004,23 Years Ago,Paul Westerberg,Life and death,http://open.spotify.com/track/40C20xZeOnu64jvXMTJ1ZL
927,2004,Emily,Stephen Fretwell,Heartbreak,http://open.spotify.com/track/3xC8ffyrb46M2xoyiAZijA
928,2004,Can’t Stand Me Now,The Libertines,Party songs,http://open.spotify.com/track/2cY5MaSgqNXLSkjGb5iRl1
929,2004,Dry Your Eyes,The Streets,Heartbreak,http://open.spotify.com/track/1DlCpos9Lj8pK6cYMRjipp
930,2004,The Day After Tomorrow,Tom Waits,Politics and protest,http://open.spotify.com/track/6ipRDQPnSMst9V3wVQjVGg
931,2005,I Bet You Look Good On the Dancefloor,Arctic Monkeys,Party songs,http://open.spotify.com/track/5U2OpjVE3r64Nm8tyR2T9S
932,2005,Bed is For Sleeping,Bonnie ‘Prince’ Billy and Matt Sweeney,Heartbreak,
933,2005,Lua,Bright Eyes,Heartbreak,http://open.spotify.com/track/5bGoxCHvVavcFeQnI6NvUz
934,2005,When the President Talks to God,Bright Eyes,Politics and protest,http://open.spotify.com/track/1ScpEIsS1pVNXWafHc3tat
935,2005,Black and White Town,Doves,People and places,http://open.spotify.com/track/1RJxjF2aOMi1JLJ9K2PUJj
936,2005,Station Approach,Elbow,People and places,
937,2005,Biology,Girls Aloud,Party songs,http://open.spotify.com/track/5gVFOj7whQCfMoXNXePOIt
938,2005,Dare,Gorillaz,Party songs,http://open.spotify.com/track/4Hff1IjRbLGeLgFgxvHflk
939,2005,Not On Top,Herman Düne,Life and death,
940,2005,Gold Digger,Kanye West,Heartbreak,http://open.spotify.com/track/5sSxgpqqZEAdwfRYVze4fU
941,2005,Bertie,Kate Bush,Life and death,http://open.spotify.com/track/1DoPTuunqTabblM4DTXBUT
942,2005,King Creosote,My Favourite Girl,Life and death,http://open.spotify.com/track/4oBGNxAAZzpPh1FiA6BPxj
943,2005,Coles Corner,Richard Hawley,People and places,http://open.spotify.com/track/5kGdayTmguCAZP87F56DUg
944,2005,BYOB,System Of A Down,Politics and protest,http://open.spotify.com/track/5b5R8oiVflR4vW9sFc8q3W
945,2005,16 Military Wives,The Decemberists,Politics and protest,http://open.spotify.com/track/5apLxy6Ko3gkOw8YtavIoe
946,2006,You Know I’m No Good,Amy Winehouse,Heartbreak,http://open.spotify.com/track/0u8ekDfiPVBsju2LBLvDvI
947,2006,A Certain Romance,Arctic Monkeys,People and places,http://open.spotify.com/track/1sW0hSskhK2o3okrBoNd57
