region,councilName,wardName,DistrictGSS,WardGSS,partyFullName,party,candidateFullName,candidateFirstName,candidateLastName,numVotes,elected
London,barking and dagenham,abbey,E09000002,E05000026,Labour Party,Lab,Laila Butt,Laila,Butt,2169,1
London,barking and dagenham,abbey,E09000002,E05000026,Labour Party,Lab,Darren Rodwell,Darren,Rodwell,2086,1
London,barking and dagenham,abbey,E09000002,E05000026,Labour Party,Lab,Giasuddin Miah,Giasuddin,Miah,2043,1
London,barking and dagenham,abbey,E09000002,E05000026,Conservative and Unionist Party,Con,Archana Manish Wankhade,Archana,Wankhade,382,0
London,barking and dagenham,abbey,E09000002,E05000026,Conservative and Unionist Party,Con,Syed Nasir Rara Naqvi,Syed,Naqvi,362,0
London,barking and dagenham,abbey,E09000002,E05000026,Conservative and Unionist Party,Con,Kresan Panchardcharam,Kresan,Panchardcharam,353,0
London,barking and dagenham,alibon,E09000002,E05000027,Labour Party,Lab,John Dulwich,John,Dulwich,1350,1
London,barking and dagenham,alibon,E09000002,E05000027,Labour Party,Lab,Paul Robinson,Paul,Robinson,1306,1
London,barking and dagenham,alibon,E09000002,E05000027,Labour Party,Lab,Sanchia Alasia,Sanchia,Alasia,1281,1
London,barking and dagenham,alibon,E09000002,E05000027,Conservative and Unionist Party,Con,Keith Syers,Keith,Syers,480,0
London,barking and dagenham,alibon,E09000002,E05000027,Conservative and Unionist Party,Con,Tariq Saeed,Tariq,Saeed,386,0
London,barking and dagenham,alibon,E09000002,E05000027,Conservative and Unionist Party,Con,Roma Tahir,Roma,Tahir,377,0
London,barking and dagenham,becontree,E09000002,E05000028,Labour Party,Lab,Evelyn Carpenter,Evelyn,Carpenter,2161,1
London,barking and dagenham,becontree,E09000002,E05000028,Labour Party,Lab,Edna Fergus,Edna,Fergus,2047,1
London,barking and dagenham,becontree,E09000002,E05000028,Labour Party,Lab,Muhammad Saleem,Muhammad,Saleem,1854,1
London,barking and dagenham,becontree,E09000002,E05000028,Conservative and Unionist Party,Con,Richard Hall,Richard,Hall,625,0
London,barking and dagenham,becontree,E09000002,E05000028,Conservative and Unionist Party,Con,Mahammad Sajid Khalifa,Mahammad,Khalifa,378,0
London,barking and dagenham,becontree,E09000002,E05000028,Conservative and Unionist Party,Con,Syed Baqar Raza Naqvi,Syed,Naqvi,364,0
London,barking and dagenham,chadwell heath,E09000002,E05000029,Labour Party,Lab,Sade Bright,Sade,Bright,1528,1
London,barking and dagenham,chadwell heath,E09000002,E05000029,Labour Party,Lab,Simon Perry,Simon,Perry,1510,1
London,barking and dagenham,chadwell heath,E09000002,E05000029,Labour Party,Lab,Mohammed Khan,Mohammed,Khan,1447,1
London,barking and dagenham,chadwell heath,E09000002,E05000029,Conservative and Unionist Party,Con,Terry Justice,Terry,Justice,746,0
London,barking and dagenham,chadwell heath,E09000002,E05000029,Conservative and Unionist Party,Con,Monica Mohan,Monica,Mohan,653,0
London,barking and dagenham,chadwell heath,E09000002,E05000029,Conservative and Unionist Party,Con,Glyn Lewis,Glyn,Lewis,651,0
London,barking and dagenham,eastbrook,E09000002,E05000030,Labour Party,Lab,Michael Anthony McCarthy,Michael,McCarthy,1586,1
London,barking and dagenham,eastbrook,E09000002,E05000030,Labour Party,Lab,Princess Bright,Princess,Bright,1418,1
London,barking and dagenham,eastbrook,E09000002,E05000030,Labour Party,Lab,Tony Ramsay,Tony,Ramsay,1391,1
London,barking and dagenham,eastbrook,E09000002,E05000030,Conservative and Unionist Party,Con,Sue Connelly,Sue,Connelly,938,0
London,barking and dagenham,eastbrook,E09000002,E05000030,Conservative and Unionist Party,Con,Peter James Harris,Peter,Harris,868,0
London,barking and dagenham,eastbrook,E09000002,E05000030,Conservative and Unionist Party,Con,Dewan Chowdhury Mahdi,Dewan,Mahdi,728,0
London,barking and dagenham,eastbrook,E09000002,E05000030,Independent,Other,Ron Emin,Ron,Emin,372,0
London,barking and dagenham,eastbrook,E09000002,E05000030,British National Party,BNP,Tony McKay,Tony,McKay,158,0
London,barking and dagenham,eastbury,E09000002,E05000031,Labour Party,Lab,Emily Rodwell,Emily,Rodwell,1678,1
London,barking and dagenham,eastbury,E09000002,E05000031,Labour Party,Lab,Foyzur Rahman,Foyzur,Rahman,1550,1
London,barking and dagenham,eastbury,E09000002,E05000031,Labour Party,Lab,Faraaz Shaukat,Faraaz,Shaukat,1474,1
London,barking and dagenham,eastbury,E09000002,E05000031,Conservative and Unionist Party,Con,David Perry,David,Perry,564,0
London,barking and dagenham,eastbury,E09000002,E05000031,Conservative and Unionist Party,Con,Alejandro Delos Santos,Alejandro,Santos,488,0
London,barking and dagenham,eastbury,E09000002,E05000031,Conservative and Unionist Party,Con,Manish Wankhade,Manish,Wankhade,371,0
London,barking and dagenham,gascoigne,E09000002,E05000032,Labour Party,Lab,Saima Ashraf,Saima,Ashraf,1560,1
London,barking and dagenham,gascoigne,E09000002,E05000032,Labour Party,Lab,Dominic Twomey,Dominic,Twomey,1538,1
