region,councilName,wardName,DistrictGSS,WardGSS,partyFullName,party,candidateFullName,candidateFirstName,candidateLastName,numVotes,elected
London,Barking and Dagenham,Abbey,E09000002,E05000026,Lab,Lab,"Alexander, Jeannette L. *",Jeannette,Alexander,1376,1
London,Barking and Dagenham,Abbey,E09000002,E05000026,Lab,Lab,"Fani, Mohammed A.R. *",Mohammed,Fani,1275,1
London,Barking and Dagenham,Abbey,E09000002,E05000026,Lab,Lab,"Bramley, Graham J. *",Graham,Bramley,1241,1
London,Barking and Dagenham,Abbey,E09000002,E05000026,Cons,Con,"Rahman, Foyzur    ",Foyzur,Rahman,765,0
London,Barking and Dagenham,Alibon,E09000002,E05000027,BNP,BNP,"Bailey, Robert W. *",Robert,Bailey,1329,1
London,Barking and Dagenham,Alibon,E09000002,E05000027,BNP,BNP,"Doncaster, Claire L. *",Claire,Doncaster,1323,1
London,Barking and Dagenham,Alibon,E09000002,E05000027,Lab,Lab,"Davis, John    *",John,Davis,1071,1
London,Barking and Dagenham,Alibon,E09000002,E05000027,Lab,Lab,"Wade, Terence G.W. ",Terence,Wade,1018,0
London,Barking and Dagenham,Alibon,E09000002,E05000027,Lab,Lab,"Miles, David S. ",David,Miles,957,0
London,Barking and Dagenham,Alibon,E09000002,E05000027,UKIP,UKIP,"Whitson, Margaret    ",Margaret,Whitson,394,0
London,Barking and Dagenham,Alibon,E09000002,E05000027,Cons,Con,"East, Lucy C. ",Lucy,East,393,0
London,Barking and Dagenham,Becontree,E09000002,E05000028,Lab,Lab,"Agrawal, Alok K. *",Alok,Agrawal,1268,1
London,Barking and Dagenham,Becontree,E09000002,E05000028,Lab,Lab,"Carpenter, Evelyn    *",Evelyn,Carpenter,1240,1
London,Barking and Dagenham,Becontree,E09000002,E05000028,Lab,Lab,"Obasohan, Emmanuel O. *",Emmanuel,Obasohan,1058,1
London,Barking and Dagenham,Becontree,E09000002,E05000028,UKIP,UKIP,"Jordan, Daphne K. ",Daphne,Jordan,749,0
London,Barking and Dagenham,Becontree,E09000002,E05000028,Cons,Con,"Barker, Claire L. ",Claire,Barker,653,0
London,Barking and Dagenham,Becontree,E09000002,E05000028,Cons,Con,"Barker, Malcolm B. ",Malcolm,Barker,607,0
London,Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Lab,Lab,"Baillie, Sarah J. *",Sarah,Baillie,1101,1
London,Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Lab,Lab,"Smith, Nadine E. *",Nadine,Smith,999,1
London,Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Lab,Lab,"Carroll, Shaun    *",Shaun,Carroll,987,1
London,Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Cons,Con,"Justice, Terence J. ",Terence,Justice,873,0
London,Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Cons,Con,"Justice, Mary B. ",Mary,Justice,734,0
London,Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Cons,Con,"Chytry, Sharron    ",Sharron,Chytry,583,0
London,Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Ind,Other,"Curtis, Ronald J. ",Ronald,Curtis,560,0
London,Barking and Dagenham,Chadwell Heath,E09000002,E05000029,UKIP,UKIP,"Tucker, Doreen G.M. ",Doreen,Tucker,385,0
London,Barking and Dagenham,Chadwell Heath,E09000002,E05000029,UKIP,UKIP,"Long, Ronald W. ",Ronald,Long,376,0
London,Barking and Dagenham,Eastbrook,E09000002,E05000030,Lab,Lab,"McCarthy, Michael A. *",Michael,McCarthy,1151,1
London,Barking and Dagenham,Eastbrook,E09000002,E05000030,Cons,Con,"Connelly, Neil S. *",Neil,Connelly,1139,1
London,Barking and Dagenham,Eastbrook,E09000002,E05000030,Lab,Lab,"Little, Robert C. *",Robert,Little,1126,1
London,Barking and Dagenham,Eastbrook,E09000002,E05000030,Cons,Con,"Connelly, Susan M. ",Susan,Connelly,1101,0
London,Barking and Dagenham,Eastbrook,E09000002,E05000030,Cons,Con,"Smith, Susan A. ",Susan,Smith,1067,0
London,Barking and Dagenham,Eastbrook,E09000002,E05000030,Lab,Lab,"Mullane, Margaret    ",Margaret,Mullane,1036,0
London,Barking and Dagenham,Eastbury,E09000002,E05000031,BNP,BNP,"Steed, Jeffrey R. *",Jeffrey,Steed,1102,1
London,Barking and Dagenham,Eastbury,E09000002,E05000031,Lab,Lab,"McDermott, James E. *",James,McDermott,965,1
London,Barking and Dagenham,Eastbury,E09000002,E05000031,Lab,Lab,"Northover, Patricia A. *",Patricia,Northover,944,1
London,Barking and Dagenham,Eastbury,E09000002,E05000031,Lab,Lab,"Rai, Hardial S.",Hardial,Rai,852,0
London,Barking and Dagenham,Eastbury,E09000002,E05000031,UKIP,UKIP,"Manley, Patrick J. ",Patrick,Manley,546,0
London,Barking and Dagenham,Eastbury,E09000002,E05000031,Lib Dem,LD,"Challis, Dianne P. ",Dianne,Challis,523,0
London,Barking and Dagenham,Eastbury,E09000002,E05000031,UKIP,UKIP,"McIlroy, Ashley    ",Ashley,McIlroy,455,0
London,Barking and Dagenham,Eastbury,E09000002,E05000031,Lib Dem,LD,"Edwards, Ryan    ",Ryan,Edwards,451,0
London,Barking and Dagenham,Eastbury,E09000002,E05000031,UKIP,UKIP,"McIlroy, Dorien    ",Dorien,McIlroy,425,0
London,Barking and Dagenham,Eastbury,E09000002,E05000031,Green,Grn,"Sheridan, Geoff D. ",Geoff,Sheridan,260,0
London,Barking and Dagenham,Eastbury,E09000002,E05000031,Lib Dem,LD,"Stepton, Claire D. ",Claire,Stepton,131,0
London,Barking and Dagenham,Gascoigne,E09000002,E05000032,Lab,Lab,"Flint, Kathleen J. *",Kathleen,Flint,1579,1
