id,sGroup,sTime,Villaines,Fougeres,Tinteniac,Loudeac,St Nicolas,Carhaix,Brest,Carhaix2,Loudeac2,Tinteniac2,Fougeres2,Villaines2,Mortagne,Dreux,Guyancourt
J003,90h,2015-08-16T18:01Z,33754,52038,63637,79536,106235,112581,136580,156333,173321,213838,224841,244953,264361,281016,308212
K082,90h,2015-08-16T18:15Z,36829,56282,69913,92706,111106,124417,142210,162461,178623,220740,229936,249732,262047,290337,308346
F033,90h,2015-08-16T17:17Z,38537,58886,70792,88670,102061,109665,146599,167264,185139,206688,227581,249298,268664,288962,308380
L045,90h,2015-08-16T18:30Z,35537,54981,67722,85490,105727,114679,138809,156994,175172,210209,225341,247034,264427,284106,308419
N234,90h,2015-08-16T19:02Z,37812,54660,71067,89454,104115,110333,137053,158732,180967,211611,227237,249188,272129,290907,308427
K276,90h,2015-08-16T18:17Z,37786,59432,71323,91633,103407,126832,146911,167515,186690,217188,230896,253501,274873,291889,308435
K241,90h,2015-08-16T18:17Z,34795,54056,64345,87811,99633,106441,142943,161413,178266,197160,230257,247238,264451,282207,308442
J176,90h,2015-08-16T18:02Z,36304,55415,68375,85756,113298,121798,140315,159733,177562,218877,230003,250605,267038,285957,308459
P136,90h,2015-08-16T19:16Z,39024,57724,69263,89418,103653,110922,136822,157959,178003,211971,225377,247639,266901,288657,308460
N061,90h,2015-08-16T19:02Z,36906,56417,67230,84334,96686,105155,141949,162802,179903,201135,225556,243984,261979,280518,308512
P169,90h,2015-08-16T19:16Z,40183,63297,75049,93208,120858,127281,147476,167759,189970,221046,232775,252913,270762,295316,308533
N305,90h,2015-08-16T19:01Z,36419,57827,71466,90142,102562,109872,145342,164131,183215,221940,233467,250895,269710,293861,308572
H089,90h,2015-08-16T17:46Z,39992,61698,77102,94597,109813,129257,150230,169303,189402,207124,230221,249329,266758,287617,308662
F024,90h,2015-08-16T17:17Z,42329,63269,74653,91556,102865,109200,141226,161170,179589,197803,231264,251742,270500,291074,308709
S258,90h,2015-08-16T19:47Z,34246,54872,73191,95645,108288,117080,139316,167985,187454,217421,232679,258274,276891,295272,308729
T211,90h,2015-08-16T20:02Z,40532,58709,71924,89394,116515,124465,144262,164833,182994,219512,232626,252295,269288,289571,308736
M109,90h,2015-08-16T18:46Z,29291,43646,53388,66359,77541,82420,98989,138132,152899,172995,189929,231491,257104,272595,308774
M176,90h,2015-08-16T18:46Z,32246,49157,59718,76278,103436,111144,132004,153388,170805,199257,213672,239413,257680,275943,308776
N006,90h,2015-08-16T19:01Z,34665,50076,60618,81147,92686,98538,133101,152592,170821,211123,222937,243486,260309,276831,308798
T275,90h,2015-08-16T20:01Z,38767,56760,71109,88456,101186,132180,148842,168002,187056,222915,232935,251756,270111,295981,308852
T233,90h,2015-08-16T20:02Z,34885,56626,66983,83696,96594,119140,136156,154230,171415,189073,212638,247368,263163,294606,308882
J289,90h,2015-08-16T18:01Z,30889,48775,60048,80280,93566,98966,142923,157701,174577,190523,218443,240542,259111,275779,308903
T264,90h,2015-08-16T20:01Z,38396,54568,67373,89066,98565,110470,141877,160380,180270,206781,221959,243410,264703,293948,308961
S288,90h,2015-08-16T19:46Z,37258,54884,66137,83816,100713,116671,135424,156508,178441,215957,226467,246678,269154,291426,308982
T098,90h,2015-08-16T20:01Z,33774,53401,65650,82776,95621,102307,136127,159696,180915,198891,224621,245364,263089,282883,308982
K196,90h,2015-08-16T18:17Z,39781,56369,68262,85446,100326,106985,125445,150824,173904,197510,215681,249177,268920,291674,308990
K013,90h,2015-08-16T18:16Z,34148,51434,61686,81203,97796,105459,132476,157511,179089,201043,221950,245738,265799,282788,308992
R292,90h,2015-08-16T19:32Z,37180,54711,65686,84692,125502,132778,149374,170225,188852,222241,234201,254923,271574,291175,309010
P033,90h,2015-08-16T19:16Z,37036,57435,71790,88482,122281,127865,143641,163175,183499,213992,227260,252432,269224,289852,309013
