code,geography,category,value
E07000061,LA,Male,48532
E07000062,LA,Female,46850
E07000062,LA,Male,44146
E07000063,LA,Female,51794
E07000063,LA,Male,48111
E07000064,LA,Female,48889
E07000064,LA,Male,44221
E07000065,LA,Female,83014
E07000065,LA,Male,77137
E07000066,LA,Female,96504
E07000066,LA,Male,91067
E07000067,LA,Female,79145
E07000067,LA,Male,76123
E07000068,LA,Female,39587
E07000068,LA,Male,37460
E07000069,LA,Female,46225
E07000069,LA,Male,43362
E07000070,LA,Female,92489
E07000070,LA,Male,89034
E07000071,LA,Female,98448
E07000071,LA,Male,94267
E07000072,LA,Female,69389
E07000072,LA,Male,65591
E07000073,LA,Female,47920
E07000073,LA,Male,45408
E07000074,LA,Female,33816
E07000074,LA,Male,32392
E07000075,LA,Female,44157
E07000075,LA,Male,41504
E07000076,LA,Female,76817
E07000076,LA,Male,71475
E07000077,LA,Female,46692
E07000077,LA,Male,44649
E07000078,LA,Female,60751
E07000078,LA,Male,58085
E07000079,LA,Female,47060
E07000079,LA,Male,43772
E07000080,LA,Female,44441
E07000080,LA,Male,42563
E07000081,LA,Female,66916
E07000081,LA,Male,65500
E07000082,LA,Female,61869
E07000082,LA,Male,59235
E07000083,LA,Female,48795
E07000083,LA,Male,46089
E07000084,LA,Female,93486
E07000084,LA,Male,91668
E07000085,LA,Female,64735
E07000085,LA,Male,61011
E07000086,LA,Female,69743
E07000086,LA,Male,66700
E07000087,LA,Female,58720
E07000087,LA,Male,55793
E07000088,LA,Female,41841
E07000088,LA,Male,40111
E07000089,LA,Female,50263
E07000089,LA,Male,49145
E07000090,LA,Female,64230
E07000090,LA,Male,59978
E07000091,LA,Female,91243
E07000091,LA,Male,84542
E07000092,LA,Female,49866
E07000092,LA,Male,49888
E07000093,LA,Female,66608
E07000093,LA,Male,63884
E07000094,LA,Female,65380
E07000094,LA,Male,62065
E07000095,LA,Female,51126
E07000095,LA,Male,47881
E07000096,LA,Female,78952
E07000096,LA,Male,76129
E07000098,LA,Female,56028
E07000098,LA,Male,51799
E07000099,LA,Female,68472
E07000099,LA,Male,64738
E07000102,LA,Female,48121
E07000102,LA,Male,45650
E07000103,LA,Female,51901
E07000103,LA,Male,50345
E07000105,LA,Female,68156
E07000105,LA,Male,64591
E07000106,LA,Female,81846
E07000106,LA,Male,75583
E07000107,LA,Female,59599
E07000107,LA,Male,57154
E07000108,LA,Female,59609
E07000108,LA,Male,56801
E07000109,LA,Female,54667
E07000109,LA,Male,52233
E07000110,LA,Female,88818
E07000110,LA,Male,86964
E07000111,LA,Female,62306
E07000111,LA,Male,58208
E07000112,LA,Female,56183
E07000112,LA,Male,53575
E07000113,LA,Female,76361
E07000113,LA,Male,75316
E07000114,LA,Female,72927
E07000114,LA,Male,67660
E07000115,LA,Female,67847
E07000115,LA,Male,64354
E07000116,LA,Female,59364
E07000116,LA,Male,55947
E07000117,LA,Female,47849
E07000117,LA,Male,46797
E07000118,LA,Female,59045
E07000118,LA,Male,58687
E07000119,LA,Female,41517
E07000119,LA,Male,39858
E07000120,LA,Female,41756
E07000120,LA,Male,40478
E07000121,LA,Female,73002
E07000121,LA,Male,69929
E07000122,LA,Female,48396
E07000122,LA,Male,47361
E07000123,LA,Female,74101
E07000123,LA,Male,73734
E07000124,LA,Female,31357
E07000124,LA,Male,30204
E07000125,LA,Female,36106
E07000125,LA,Male,34765
E07000126,LA,Female,56734
E07000126,LA,Male,54301
E07000127,LA,Female,61002
E07000127,LA,Male,56427
E07000128,LA,Female,57516
E07000128,LA,Male,54430
E07000129,LA,Female,52478
E07000129,LA,Male,50448
E07000130,LA,Female,91931
E07000130,LA,Male,92040
E07000131,LA,Female,49276
E07000131,LA,Male,48349
E07000132,LA,Female,57607
E07000132,LA,Male,56033
E07000133,LA,Female,26496
E07000133,LA,Male,25256
E07000134,LA,Female,53071
E07000134,LA,Male,51634
E07000135,LA,Female,29754
E07000135,LA,Male,27993
E07000136,LA,Female,35806
E07000136,LA,Male,34696
E07000137,LA,Female,72771
E07000137,LA,Male,69525
E07000138,LA,Female,52410
E07000138,LA,Male,51403
E07000139,LA,Female,60220
E07000139,LA,Male,57854
E07000140,LA,Female,48367
E07000140,LA,Male,46755
E07000141,LA,Female,73896
E07000141,LA,Male,69508
E07000142,LA,Female,48464
E07000142,LA,Male,46689
E07000143,LA,Female,71352
E07000143,LA,Male,70124
E07000144,LA,Female,67458
E07000144,LA,Male,64263
E07000145,LA,Female,50853
E07000145,LA,Male,48892
E07000146,LA,Female,78964
E07000146,LA,Male,75361
E07000147,LA,Female,52681
E07000147,LA,Male,50298
E07000148,LA,Female,72851
E07000148,LA,Male,71071
E07000149,LA,Female,72709
E07000149,LA,Male,69238
E07000163,LA,Female,29309
E07000163,LA,Male,27618
E07000164,LA,Female,46456
E07000164,LA,Male,44234
E07000165,LA,Female,83007
E07000165,LA,Male,79663
E07000166,LA,Female,24311
E07000166,LA,Male,25465
E07000167,LA,Female,28023
E07000167,LA,Male,26684
E07000168,LA,Female,55899
E07000168,LA,Male,52836
E07000169,LA,Female,46806
E07000169,LA,Male,45182
E07000170,LA,Female,64441
E07000170,LA,Male,61859
E07000171,LA,Female,59391
E07000171,LA,Male,58413
E07000172,LA,Female,56542
E07000172,LA,Male,54398
E07000173,LA,Female,60384
E07000173,LA,Male,56879
E07000174,LA,Female,56089
