code,geography,category,value
E07000143,LA,popDenisty,108.4
E07000144,LA,popDenisty,238.6
E07000145,LA,popDenisty,572.2
E07000146,LA,popDenisty,107.2
E07000147,LA,popDenisty,106.6
E07000148,LA,popDenisty,3688.2
E07000149,LA,popDenisty,156.4
E07000163,LA,popDenisty,48.4
E07000164,LA,popDenisty,69.2
E07000165,LA,popDenisty,124.4
E07000166,LA,popDenisty,37.7
E07000167,LA,popDenisty,36.3
E07000168,LA,popDenisty,133.2
E07000169,LA,popDenisty,153.5
E07000170,LA,popDenisty,1152.8
E07000171,LA,popDenisty,184.7
E07000172,LA,popDenisty,1385
E07000173,LA,popDenisty,977.4
E07000174,LA,popDenisty,1440.2
E07000175,LA,popDenisty,188.8
E07000176,LA,popDenisty,291
E07000177,LA,popDenisty,273.5
E07000178,LA,popDenisty,3553
E07000179,LA,popDenisty,219.7
E07000180,LA,popDenisty,240.5
E07000181,LA,popDenisty,159.9
E07000187,LA,popDenisty,157
E07000188,LA,popDenisty,222.2
E07000189,LA,popDenisty,180
E07000192,LA,popDenisty,1274.3
E07000193,LA,popDenisty,320.5
E07000194,LA,popDenisty,321.3
E07000195,LA,popDenisty,584.5
E07000196,LA,popDenisty,271.2
E07000197,LA,popDenisty,228.8
E07000198,LA,popDenisty,166.4
E07000199,LA,popDenisty,2549.6
E07000200,LA,popDenisty,155.5
E07000202,LA,popDenisty,3534.3
E07000203,LA,popDenisty,117.9
E07000207,LA,popDenisty,1459.6
E07000208,LA,popDenisty,2375.4
E07000209,LA,popDenisty,530.2
E07000210,LA,popDenisty,338.3
E07000211,LA,popDenisty,1168.1
E07000212,LA,popDenisty,1128.6
E07000213,LA,popDenisty,2293.9
E07000214,LA,popDenisty,951.2
E07000215,LA,popDenisty,354.1
E07000216,LA,popDenisty,371.5
E07000217,LA,popDenisty,1634.4
E07000218,LA,popDenisty,228.8
E07000219,LA,popDenisty,1699.7
E07000220,LA,popDenisty,325.7
E07000221,LA,popDenisty,137.8
E07000222,LA,popDenisty,524.8
E07000223,LA,popDenisty,1534.4
E07000224,LA,popDenisty,746.1
E07000225,LA,popDenisty,157.8
E07000226,LA,popDenisty,2634.9
E07000227,LA,popDenisty,276.8
E07000228,LA,popDenisty,456.8
E07000229,LA,popDenisty,3423.7
E07000234,LA,popDenisty,457.1
E07000235,LA,popDenisty,137.7
E07000236,LA,popDenisty,1604.4
E07000237,LA,popDenisty,3121.4
E07000238,LA,popDenisty,199.7
E07000239,LA,popDenisty,520
E07000240,LA,popDenisty,919.3
E07000241,LA,popDenisty,925
E07000242,LA,popDenisty,315.7
E07000243,LA,popDenisty,3444.8
E07000244,LA,popDenisty,195.1
E07000245,LA,popDenisty,173.9
E07000246,LA,popDenisty,132.6
E08000001,LA,popDenisty,2117
E08000002,LA,popDenisty,1948.6
E08000003,LA,popDenisty,4772.7
E08000004,LA,popDenisty,1700.5
E08000005,LA,popDenisty,1415.6
E08000006,LA,popDenisty,2777.2
E08000007,LA,popDenisty,2338.3
E08000008,LA,popDenisty,2239.7
E08000009,LA,popDenisty,2216.7
E08000010,LA,popDenisty,1750
E08000011,LA,popDenisty,1787
E08000012,LA,popDenisty,4346.1
E08000013,LA,popDenisty,1343.6
E08000014,LA,popDenisty,1783.4
E08000015,LA,popDenisty,1989.7
E08000016,LA,popDenisty,743.3
E08000017,LA,popDenisty,542.4
E08000018,LA,popDenisty,927.7
E08000019,LA,popDenisty,1512.5
E08000021,LA,popDenisty,2646.1
E08000022,LA,popDenisty,2538.6
E08000023,LA,popDenisty,2294.2
E08000024,LA,popDenisty,1994.6
E08000025,LA,popDenisty,4275.4
E08000026,LA,popDenisty,3500.7
E08000027,LA,popDenisty,3302.4
E08000028,LA,popDenisty,3994.9
E08000029,LA,popDenisty,1212.9
E08000030,LA,popDenisty,2733.1
E08000031,LA,popDenisty,3797.9
E08000032,LA,popDenisty,1491.2
E08000033,LA,popDenisty,567.8
E08000034,LA,popDenisty,1060.3
E08000035,LA,popDenisty,1471.7
E08000036,LA,popDenisty,1043.6
E08000037,LA,popDenisty,1378
E09000001,LA,popDenisty,2975
E09000002,LA,popDenisty,6065.8
E09000003,LA,popDenisty,4488.7
