code,geography,catgory,value
E06000008,LA,3,81
E06000008,LA,4,13610
E06000008,LA,5,508
E06000008,LA,6,34071
E06000008,LA,7,2312
E06000008,LA,8,2500
E06000008,LA,9,7697
E06000008,LA,10,6321
E06000009,LA,-8,24593
E06000009,LA,1,38791
E06000009,LA,2,780
E06000009,LA,3,95
E06000009,LA,4,17262
E06000009,LA,5,1242
E06000009,LA,6,33024
E06000009,LA,7,1047
E06000009,LA,8,2783
E06000009,LA,9,10753
E06000009,LA,10,7646
E06000010,LA,-8,53108
E06000010,LA,1,71898
E06000010,LA,2,576
E06000010,LA,3,173
E06000010,LA,4,38324
E06000010,LA,5,1894
E06000010,LA,6,63253
E06000010,LA,7,2210
E06000010,LA,8,4659
E06000010,LA,9,15449
E06000010,LA,10,10882
E06000011,LA,-8,54029
E06000011,LA,1,142965
E06000011,LA,2,763
E06000011,LA,3,197
E06000011,LA,4,38566
E06000011,LA,5,1495
E06000011,LA,6,52918
E06000011,LA,7,2032
E06000011,LA,8,4619
E06000011,LA,9,18716
E06000011,LA,10,19740
E06000012,LA,-8,29441
E06000012,LA,1,52598
E06000012,LA,2,300
E06000012,LA,3,96
E06000012,LA,4,20164
E06000012,LA,5,678
E06000012,LA,6,30469
E06000012,LA,7,1020
E06000012,LA,8,2649
E06000012,LA,9,9944
E06000012,LA,10,8101
E06000013,LA,-8,30196
E06000013,LA,1,63489
E06000013,LA,2,362
E06000013,LA,3,91
E06000013,LA,4,21304
E06000013,LA,5,768
E06000013,LA,6,29532
E06000013,LA,7,1322
E06000013,LA,8,2460
E06000013,LA,9,9521
E06000013,LA,10,8957
E06000014,LA,-8,30651
E06000014,LA,1,68418
E06000014,LA,2,674
E06000014,LA,3,108
E06000014,LA,4,22930
E06000014,LA,5,1284
E06000014,LA,6,44808
E06000014,LA,7,1229
E06000014,LA,8,2285
E06000014,LA,9,10127
E06000014,LA,10,9056
E06000015,LA,-8,52146
E06000015,LA,1,84391
E06000015,LA,2,456
E06000015,LA,3,195
E06000015,LA,4,27523
E06000015,LA,5,1312
E06000015,LA,6,58576
E06000015,LA,7,3450
E06000015,LA,8,3914
E06000015,LA,9,13591
E06000015,LA,10,11404
E06000016,LA,-8,77485
E06000016,LA,1,113910
E06000016,LA,2,500
E06000016,LA,3,278
E06000016,LA,4,26238
E06000016,LA,5,1495
E06000016,LA,6,92481
E06000016,LA,7,9413
E06000016,LA,8,4868
E06000016,LA,9,15106
E06000016,LA,10,13579
E06000017,LA,-8,6166
E06000017,LA,1,17234
E06000017,LA,2,109
E06000017,LA,3,10
E06000017,LA,4,3604
E06000017,LA,5,162
E06000017,LA,6,5301
E06000017,LA,7,215
E06000017,LA,8,555
E06000017,LA,9,2000
E06000017,LA,10,2084
E06000018,LA,-8,59206
E06000018,LA,1,74766
E06000018,LA,2,719
E06000018,LA,3,222
E06000018,LA,4,32435
E06000018,LA,5,1842
E06000018,LA,6,97139
E06000018,LA,7,4256
E06000018,LA,8,4638
E06000018,LA,9,15067
E06000018,LA,10,10775
E06000019,LA,-8,29813
E06000019,LA,1,75580
E06000019,LA,2,462
E06000019,LA,3,156
E06000019,LA,4,20500
E06000019,LA,5,784
E06000019,LA,6,32108
E06000019,LA,7,1449
E06000019,LA,8,2577
E06000019,LA,9,10938
E06000019,LA,10,10284
E06000020,LA,-8,36782
E06000020,LA,1,63913
E06000020,LA,2,432
E06000020,LA,3,125
E06000020,LA,4,23044
E06000020,LA,5,1002
E06000020,LA,6,35608
E06000020,LA,7,1553
E06000020,LA,8,2873
E06000020,LA,9,10353
E06000020,LA,10,7948
E06000021,LA,-8,52461
E06000021,LA,1,80215
E06000021,LA,2,464
E06000021,LA,3,151
E06000021,LA,4,31591
E06000021,LA,5,1603
E06000021,LA,6,54925
E06000021,LA,7,2690
E06000021,LA,8,4517
E06000021,LA,9,14097
E06000021,LA,10,12125
E06000022,LA,-8,31448
E06000022,LA,1,67633
E06000022,LA,2,576
E06000022,LA,3,142
E06000022,LA,4,20432
E06000022,LA,5,941
E06000022,LA,6,43429
E06000022,LA,7,1290
E06000022,LA,8,2153
E06000022,LA,9,9214
E06000022,LA,10,8180
E06000023,LA,-8,82553
E06000023,LA,1,124097
E06000023,LA,2,1447
E06000023,LA,3,389
E06000023,LA,4,63802
E06000023,LA,5,3576
E06000023,LA,6,135350
E06000023,LA,7,4565
E06000023,LA,8,5860
E06000023,LA,9,21341
E06000023,LA,10,14868
E06000024,LA,-8,38135
